donor_label,age_group,sex_group,region_label_final,microglia_state,n_cells
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,PVN_PVH,Homeostatic,86
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,PVN_PVH,Inflammatory,102
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,ARC_ARH,Homeostatic,17
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,ARC_ARH,Inflammatory,5
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,Ambiguous,Homeostatic,16
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,Ambiguous,Inflammatory,10
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,DMH,Homeostatic,10
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,DMH,Inflammatory,6
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,PVN_PVH,Homeostatic,92
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,PVN_PVH,Inflammatory,37
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,ARC_ARH,Homeostatic,1
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,Ambiguous,Homeostatic,2
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,PVN_PVH,Homeostatic,6
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,PVN_PVH,Inflammatory,1
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,ARC_ARH,Homeostatic,1
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,PVN_PVH,Homeostatic,1
