age,source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,ARC_ARH,DMH,PVN_PVH,max_region,n_regions_detected,specificity_ratio
aged,Microglia,Microglia,CSF1_CSF1R,Csf1  - Csf1r,Csf1,Csf1r,CSF,0.0,0.0,0.0225371483977668,PVN_PVH,1,0.9999999999556288
aged,Microglia,Microglia,GAS6_AXL,Gas6  - Axl,Gas6,Axl,GAS,0.0,0.0017883225589793,0.0,DMH,1,0.9999999994408167
aged,Microglia,Microglia,NAMPT_ITGA5_ITGB1,Nampt  - (Itga5+Itgb1),Nampt,ITGA5_ITGB1,VISFATIN,0.0006784265778276,0.0,0.0,ARC_ARH,1,0.9999999985260012
aged,Microglia,Microglia,PROS1_AXL,Pros1  - Axl,Pros1,Axl,PROS,0.0,0.0126675559477325,0.0,DMH,1,0.9999999999210581
aged,Microglia,Microglia,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),Tgfb1,ACVR1B_TGFbR2,TGFb,0.0645272781660704,0.0,0.0,ARC_ARH,1,0.9999999999845026
young,GABAergic_Neuron,Microglia,BMP2_BMPR1A_ACVR2A,Bmp2  - (Bmpr1a+Acvr2a),Bmp2,BMPR1A_ACVR2A,BMP,0.0,0.0007949006190795,0.0,DMH,1,0.9999999987419811
young,GABAergic_Neuron,Microglia,BMP2_BMPR1A_ACVR2B,Bmp2  - (Bmpr1a+Acvr2b),Bmp2,BMPR1A_ACVR2B,BMP,0.0,0.0007482119556951,0.0,DMH,1,0.9999999986634803
young,GABAergic_Neuron,Microglia,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),Bmp2,BMPR1A_BMPR2,BMP,0.0,0.0015536207321928,0.0,DMH,1,0.9999999993563423
young,GABAergic_Neuron,Microglia,COL4A1_ITGA9_ITGB1,Col4a1  - (Itga9+Itgb1),Col4a1,ITGA9_ITGB1,COLLAGEN,0.0,0.0,0.0031671068430664,PVN_PVH,1,0.9999999996842545
young,GABAergic_Neuron,Microglia,COL4A1_SDC4,Col4a1  - Sdc4,Col4a1,Sdc4,COLLAGEN,0.0,0.0,0.0006071390449365,PVN_PVH,1,0.9999999983529309
young,GABAergic_Neuron,Microglia,COL4A2_ITGA9_ITGB1,Col4a2  - (Itga9+Itgb1),Col4a2,ITGA9_ITGB1,COLLAGEN,0.0,0.0,0.0121202377495063,PVN_PVH,1,0.9999999999174933
young,GABAergic_Neuron,Microglia,COL4A2_SDC4,Col4a2  - Sdc4,Col4a2,Sdc4,COLLAGEN,0.0,0.0,0.0023404586722757,PVN_PVH,1,0.9999999995727333
young,GABAergic_Neuron,Microglia,CSF1_CSF1R,Csf1  - Csf1r,Csf1,Csf1r,CSF,0.052073433091102,0.0,0.0,ARC_ARH,1,0.9999999999807964
young,GABAergic_Neuron,Microglia,FGF1_FGFR2,Fgf1  - Fgfr2,Fgf1,Fgfr2,FGF,0.0,0.0,0.0076231258683493,PVN_PVH,1,0.9999999998688202
young,GABAergic_Neuron,Microglia,FGF9_FGFR2,Fgf9  - Fgfr2,Fgf9,Fgfr2,FGF,0.0,0.0,0.0026531777307131,PVN_PVH,1,0.9999999996230935
young,GABAergic_Neuron,Microglia,GAS6_MERTK,Gas6  - Mertk,Gas6,Mertk,GAS,0.0,0.0478474786979376,0.0,DMH,1,0.9999999999791003
young,GABAergic_Neuron,Microglia,GRN_SORT1,Grn  - Sort1,Grn,Sort1,GRN,0.0030952851508991,0.0,0.0,ARC_ARH,1,0.999999999676928
young,GABAergic_Neuron,Microglia,PTN_SDC4,Ptn  - Sdc4,Ptn,Sdc4,PTN,0.0,0.0,0.003478914562412,PVN_PVH,1,0.999999999712554
young,GABAergic_Neuron,Microglia,SEMA3A_NRP1_PLXNA4,Sema3a  - (Nrp1+Plxna4),Sema3a,NRP1_PLXNA4,SEMA3,0.0,0.0057712222426116,0.0,DMH,1,0.9999999998267264
young,GABAergic_Neuron,Microglia,THBS3_SDC4,Thbs3  - Sdc4,Thbs3,Sdc4,THBS,0.0,0.0,0.0006006688702592,PVN_PVH,1,0.9999999983351893
young,Glutamatergic_Neuron,Microglia,BDNF_NTRK2,Bdnf  - Ntrk2,Bdnf,Ntrk2,NT,0.0009579380359267,0.0,0.0,ARC_ARH,1,0.9999999989560912
young,Glutamatergic_Neuron,Microglia,COL2A1_ITGA9_ITGB1,Col2a1  - (Itga9+Itgb1),Col2a1,ITGA9_ITGB1,COLLAGEN,0.0049681040101792,0.0,0.0,ARC_ARH,1,0.9999999997987159
young,Glutamatergic_Neuron,Microglia,COL2A1_SDC4,Col2a1  - Sdc4,Col2a1,Sdc4,COLLAGEN,0.0010551957871309,0.0,0.0,ARC_ARH,1,0.9999999990523086
young,Glutamatergic_Neuron,Microglia,COL4A1_ITGA9_ITGB1,Col4a1  - (Itga9+Itgb1),Col4a1,ITGA9_ITGB1,COLLAGEN,0.0,0.0,0.0041794113458386,PVN_PVH,1,0.9999999997607317
young,Glutamatergic_Neuron,Microglia,COL4A1_SDC4,Col4a1  - Sdc4,Col4a1,Sdc4,COLLAGEN,0.0,0.0,0.0008018575084706,PVN_PVH,1,0.9999999987528957
young,Glutamatergic_Neuron,Microglia,COL4A2_ITGA9_ITGB1,Col4a2  - (Itga9+Itgb1),Col4a2,ITGA9_ITGB1,COLLAGEN,0.0,0.0,0.0128681758340027,PVN_PVH,1,0.9999999999222888
young,Glutamatergic_Neuron,Microglia,COL4A2_SDC4,Col4a2  - Sdc4,Col4a2,Sdc4,COLLAGEN,0.0,0.0,0.0024864070105688,PVN_PVH,1,0.9999999995978133
young,Glutamatergic_Neuron,Microglia,CSF1_CSF1R,Csf1  - Csf1r,Csf1,Csf1r,CSF,0.0187111726854015,0.0,0.0,ARC_ARH,1,0.9999999999465561
young,Glutamatergic_Neuron,Microglia,GAS6_MERTK,Gas6  - Mertk,Gas6,Mertk,GAS,0.0,0.017558021103125,0.0,DMH,1,0.999999999943046
young,Glutamatergic_Neuron,Microglia,GRN_SORT1,Grn  - Sort1,Grn,Sort1,GRN,0.0032990725601548,0.0,0.0,ARC_ARH,1,0.9999999996968845
young,Glutamatergic_Neuron,Microglia,IGF1_IGF1R,Igf1  - Igf1r,Igf1,Igf1r,IGF,0.0,0.0070908419128461,0.0,DMH,1,0.9999999998589729
young,Glutamatergic_Neuron,Microglia,IL34_CSF1R,Il34  - Csf1r,Il34,Csf1r,CSF,0.0153491891481529,0.0,0.0,ARC_ARH,1,0.99999999993485
young,Glutamatergic_Neuron,Microglia,LAMA1_ITGA6_ITGB1,Lama1  - (Itga6+Itgb1),Lama1,ITGA6_ITGB1,LAMININ,0.0050205784251949,0.0,0.0,ARC_ARH,1,0.9999999998008197
young,Glutamatergic_Neuron,Microglia,LAMA1_ITGA9_ITGB1,Lama1  - (Itga9+Itgb1),Lama1,ITGA9_ITGB1,LAMININ,0.0048311532866536,0.0,0.0,ARC_ARH,1,0.99999999979301
young,Glutamatergic_Neuron,Microglia,PTN_NCL,Ptn  - Ncl,Ptn,Ncl,PTN,0.0,0.0,0.0172262784170871,PVN_PVH,1,0.9999999999419492
young,Glutamatergic_Neuron,Microglia,PTN_SDC4,Ptn  - Sdc4,Ptn,Sdc4,PTN,0.0,0.0,0.0052795675987747,PVN_PVH,1,0.9999999998105905
young,Glutamatergic_Neuron,Microglia,SEMA3A_NRP1_PLXNA4,Sema3a  - (Nrp1+Plxna4),Sema3a,NRP1_PLXNA4,SEMA3,0.0047771050231896,0.0,0.0,ARC_ARH,1,0.9999999997906681
young,Glutamatergic_Neuron,Microglia,SEMA3C_NRP1_PLXNA4,Sema3c  - (Nrp1+Plxna4),Sema3c,NRP1_PLXNA4,SEMA3,0.0,0.0,0.00518897785232,PVN_PVH,1,0.9999999998072837
young,Glutamatergic_Neuron,Microglia,SEMA3C_NRP2_PLXNA4,Sema3c  - (Nrp2+Plxna4),Sema3c,NRP2_PLXNA4,SEMA3,0.0,0.0,0.0030695206571743,PVN_PVH,1,0.9999999996742163
young,Glutamatergic_Neuron,Microglia,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),Tgfb2,ACVR1_TGFbR,TGFb,0.0,0.0081879333746509,0.0,DMH,1,0.999999999877869
young,Glutamatergic_Neuron,Microglia,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),Tgfb2,TGFbR1_R2,TGFb,0.0,0.0146045276578291,0.0,DMH,1,0.9999999999315281
young,Glutamatergic_Neuron,Microglia,THBS3_SDC4,Thbs3  - Sdc4,Thbs3,Sdc4,THBS,0.0,0.0,0.0003867802848472,PVN_PVH,1,0.9999999974145528
young,Glutamatergic_Neuron,Microglia,TNXB_ITGA9_ITGB1,Tnxb  - (Itga9+Itgb1),Tnxb,ITGA9_ITGB1,TENASCIN,0.006429445621921,0.0,0.0,ARC_ARH,1,0.9999999998444655
young,Glutamatergic_Neuron,Microglia,TNXB_SDC4,Tnxb  - Sdc4,Tnxb,Sdc4,TENASCIN,0.0013671574687839,0.0,0.0,ARC_ARH,1,0.9999999992685553
young,Microglia,Glutamatergic_Neuron,ENTPD1_ADORA1,Entpd1  - Adora1,Entpd1,Adora1,CD39,0.0,0.0,0.0049211879143279,PVN_PVH,1,0.999999999796797
young,Microglia,Microglia,DLK1_NOTCH1,Dlk1  - Notch1,Dlk1,Notch1,NOTCH,0.0007247631630072,0.0,0.0,ARC_ARH,1,0.9999999986202389
young,Microglia,Microglia,ITGA9_ITGB1_VCAM1,Vcam1 - (Itga9+Itgb1),ITGA9_ITGB1,Vcam1,VCAM,0.0038973040451899,0.0,0.0,ARC_ARH,1,0.9999999997434124
