source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,annotation,prob_young,pval_young,prob_aged,pval_aged,delta_prob,region,microglia_involved,direction
Glutamatergic_Neuron,Microglia,JAG2_NOTCH1,Jag2  - Notch1,Jag2,Notch1,NOTCH,Cell-Cell Contact,0.0026966597665981,0.0,0.0018531021756686,0.0,-0.0008435575909294998,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,COL4A1_ITGA9_ITGB1,Col4a1  - (Itga9+Itgb1),Col4a1,ITGA9_ITGB1,COLLAGEN,ECM-Receptor,0.0031671068430664,0.0,0.0023294117240585,0.0,-0.0008376951190078997,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,TNF_TNFRSF1B,Tnf  - Tnfrsf1b,Tnf,Tnfrsf1b,TNF,Secreted Signaling,0.0320088032693468,0.0,0.0311779897949174,0.0,-0.0008308134744293982,PVN_PVH,True,Microglia_autocrine
Glutamatergic_Neuron,Microglia,PTN_SDC4,Ptn  - Sdc4,Ptn,Sdc4,PTN,Secreted Signaling,0.0052795675987747,0.0,0.0044760880325824,0.0,-0.0008034795661922998,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,JAM3_JAM2,Jam3  - Jam2,Jam3,Jam2,JAM,Cell-Cell Contact,0.0021166873903257,0.0,0.0013487854392825,0.0,-0.0007679019510432,PVN_PVH,True,Microglia_incoming
Microglia,GABAergic_Neuron,JAM2_JAM3,Jam2  - Jam3,Jam2,Jam3,JAM,Cell-Cell Contact,0.0021166873903257,0.0,0.0013487854392825,0.0,-0.0007679019510432,PVN_PVH,True,Microglia_outgoing
GABAergic_Neuron,Microglia,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),Gdf11,TGFBR1_ACVR2A,GDF,Secreted Signaling,0.0,1.0,0.0007520124023594,0.0,0.0007520124023594,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,COL4A2_SDC4,Col4a2  - Sdc4,Col4a2,Sdc4,COLLAGEN,ECM-Receptor,0.0024864070105688,0.0,0.0017616117196615,0.0,-0.0007247952909073001,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,JAM2_JAM2,Jam2  - Jam2,Jam2,Jam2,JAM,Cell-Cell Contact,0.0018118768039584,0.0,0.0010976844258913,0.0,-0.0007141923780671002,PVN_PVH,True,Microglia_autocrine
GABAergic_Neuron,Microglia,JAG2_NOTCH1,Jag2  - Notch1,Jag2,Notch1,NOTCH,Cell-Cell Contact,0.0020544518486567,0.0,0.0013789540655062,0.0,-0.0006754977831505001,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,JAM3_JAM2,Jam3  - Jam2,Jam3,Jam2,JAM,Cell-Cell Contact,0.0026727654895745,0.0,0.0021326099659167,0.0,-0.0005401555236577999,PVN_PVH,True,Microglia_incoming
Microglia,Glutamatergic_Neuron,JAM2_JAM3,Jam2  - Jam3,Jam2,Jam3,JAM,Cell-Cell Contact,0.0026727654895745,0.0,0.0021326099659167,0.0,-0.0005401555236577999,PVN_PVH,True,Microglia_outgoing
Glutamatergic_Neuron,Microglia,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),Gdf11,TGFBR1_ACVR2A,GDF,Secreted Signaling,0.001607694181108,0.0,0.0010797982080804,0.0,-0.0005278959730275999,PVN_PVH,True,Microglia_incoming
Microglia,Glutamatergic_Neuron,JAM2_ITGA3_ITGB1,Jam2  - (Itga3+Itgb1),Jam2,ITGA3_ITGB1,JAM,Cell-Cell Contact,0.0022046794909162,0.0,0.0016878301189313,0.0,-0.0005168493719848999,PVN_PVH,True,Microglia_outgoing
Microglia,Glutamatergic_Neuron,SEMA4D_PLXNB2,Sema4d  - Plxnb2,Sema4d,Plxnb2,SEMA4,Cell-Cell Contact,0.0078377669017807,0.0,0.0083378791928514,0.0,0.0005001122910706993,PVN_PVH,True,Microglia_outgoing
