source,target,pathway_name,prob_young,prob_aged,delta_prob,region
Microglia,Microglia,ICAM,0.0288813480112932,0.0312227508200106,0.0023414028087174014,ARC_ARH
Microglia,Microglia,JAM,0.296753470913877,0.167242775760422,-0.12951069515345498,ARC_ARH
Microglia,Microglia,NOTCH,0.0007247631630072,0.0,-0.0007247631630072,ARC_ARH
Microglia,Microglia,OSM,0.0,0.0014895551863456,0.0014895551863456,ARC_ARH
Microglia,Microglia,PTPRM,0.143235871733732,0.165613985616693,0.022378113882960987,ARC_ARH
Microglia,Microglia,SEMA4,0.107507999812861,0.108945737233955,0.0014377374210940014,ARC_ARH
Microglia,Microglia,TGFb,0.408990356006188,0.362388152639864,-0.04660220336632398,ARC_ARH
Microglia,Microglia,TNF,0.0286771534932105,0.0525024824611435,0.023825328967933,ARC_ARH
Microglia,Microglia,VCAM,0.0038973040451899,0.0225160519027673,0.0186187478575774,ARC_ARH
Microglia,Microglia,VISFATIN,0.0,0.0006784265778276,0.0006784265778276,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,AGRN,0.0061261385265302,0.0039897517646146,-0.0021363867619156006,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,CADM,0.2438856573651,0.186978271886599,-0.05690738547850102,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,CDH,0.144356341322682,0.0805807524392336,-0.06377558888344839,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,CNTN,0.167328318422622,0.122961326750075,-0.044366991672547,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,COLLAGEN,0.0016164599412431,0.0013688472431274,-0.00024761269811569993,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,ENHO,0.0008708238740721,0.0006452998298891,-0.00022552404418299998,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,EPHA,0.142971566896965,0.095979732796451,-0.046991834100513996,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,EPHB,0.0434782575604728,0.0291740482488461,-0.014304209311626698,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,FGF,0.018690662377715,0.0148578597752373,-0.0038328026024776977,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,GDF,0.0,0.0003675471482887,0.0003675471482887,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,JAM,0.0024726489952338,0.0016572318165163,-0.0008154171787174999,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,L1CAM,0.0227573563230783,0.0181299150050993,-0.004627441317979,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,LAMININ,0.0101411410270409,0.0070611310633388,-0.0030800099637020998,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,MPZ,0.0002246170304557,0.0001482021160798,-7.641491437590002e-05,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,NCAM,0.589609052466028,0.435447190511501,-0.15416186195452702,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,NECTIN,0.0173146433723694,0.0109081802443831,-0.0064064631279863,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,NEGR,0.267361270776033,0.19310041008965,-0.07426086068638299,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,NGL,0.0841303292674173,0.0423459823713989,-0.0417843468960184,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,NRG,0.192457614066171,0.1178395075975,-0.07461810646867101,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,NRXN,1.33134276006671,1.01924670478526,-0.31209605528145,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,PTN,0.0532763958333291,0.0439157151541575,-0.009360680679171597,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,RELN,0.0029209692338962,0.0011969017652122,-0.001724067468684,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,SEMA3,0.0121601049501613,0.0,-0.0121601049501613,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,SEMA4,0.0173816309242439,0.0128984356456326,-0.0044831952786112995,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,SEMA5,0.0058910035112097,0.0028699602402039,-0.0030210432710058,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,SEMA6,0.0868638473261287,0.0557116140680911,-0.0311522332580376,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,THBS,0.0035925935460289,0.0026047700664934,-0.0009878234795355,PVN_PVH
GABAergic_Neuron,GABAergic_Neuron,VISFATIN,0.0,0.0054975740320015,0.0054975740320015,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,AGRN,0.0058162628832962,0.0040261909163096,-0.0017900719669866,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,CADM,0.241094546608528,0.187863241466167,-0.05323130514236099,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,CDH,0.141703425164819,0.0807758160265087,-0.060927609138310315,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,CNTN,0.0265207748451995,0.0190906727683415,-0.007430102076858,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,COLLAGEN,0.0035454881251764,0.0029666488882959,-0.0005788392368804999,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,ENHO,0.000945341142922,0.0013278263415436,0.0003824851986216001,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,EPHA,0.0893335925384871,0.0689425417203357,-0.0203910508181514,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,EPHB,0.0409383051965948,0.0366083136679787,-0.004329991528616101,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,FGF,0.0154221316903079,0.0127940264242037,-0.0026281052661042,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,GDF,0.0,0.0006152304840239,0.0006152304840239,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,JAM,0.0031219497292288,0.002619834658356,-0.0005021150708727998,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,L1CAM,0.0274148893355105,0.022546137126174,-0.0048687522093365,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,LAMININ,0.0041133371771176,0.0023264520207537,-0.0017868851563639,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,MPZ,0.0001982132608384,0.0001347934674825,-6.341979335590002e-05,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,NCAM,0.576222732306176,0.41934152170518,-0.15688121060099602,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,NECTIN,0.0197634224355129,0.0109543789976768,-0.0088090434378361,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,NEGR,0.247260840549674,0.185260189895188,-0.06200065065448601,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,NGL,0.0236364804087594,0.0168622270889962,-0.0067742533197631995,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,NRG,0.214156756936683,0.16621462701554,-0.04794212992114302,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,NRXN,0.835706074587467,0.639999922746717,-0.19570615184075002,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,PTN,0.0603944660833839,0.0496673790817841,-0.0107270870015998,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,RELN,0.0050818140994271,0.0025931048339809,-0.0024887092654461997,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,SEMA4,0.0084817029484434,0.0013411121189787,-0.007140590829464699,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,SEMA5,0.0005813804389726,0.0013269670755543,0.0007455866365817001,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,SEMA6,0.0216873677726392,0.0136555597634292,-0.008031808009210002,PVN_PVH
GABAergic_Neuron,Glutamatergic_Neuron,THBS,0.0048301945231114,0.0033271589471166,-0.0015030355759947998,PVN_PVH
