age,source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,ARC_ARH,DMH,PVN_PVH,max_region,n_regions_detected,specificity_ratio
aged,GABAergic_Neuron,Microglia,DLK1_NOTCH1,Dlk1  - Notch1,Dlk1,Notch1,NOTCH,0.0405420295718681,0.0151994824868249,0.0033066222836347,ARC_ARH,3,0.6865928961640302
aged,Microglia,Microglia,JAM2_JAM2,Jam2  - Jam2,Jam2,Jam2,JAM,0.0001492725797726,0.0026832610014638,0.0010976844258913,DMH,3,0.6827257408914237
aged,GABAergic_Neuron,Microglia,JAM3_JAM2,Jam3  - Jam2,Jam3,Jam2,JAM,0.0013713613035923,0.0058238269707053,0.0013487854392825,DMH,3,0.6816297855372694
aged,Microglia,GABAergic_Neuron,JAM2_JAM3,Jam2  - Jam3,Jam2,Jam3,JAM,0.0013713613035923,0.0058238269707053,0.0013487854392825,DMH,3,0.6816297855372694
aged,Glutamatergic_Neuron,Microglia,JAM3_JAM2,Jam3  - Jam2,Jam3,Jam2,JAM,0.0010402681022006,0.0065741912088512,0.0021326099659167,DMH,3,0.674478760883641
aged,Microglia,Glutamatergic_Neuron,JAM2_JAM3,Jam2  - Jam3,Jam2,Jam3,JAM,0.0010402681022006,0.0065741912088512,0.0021326099659167,DMH,3,0.674478760883641
aged,Microglia,Microglia,LGALS9_HAVCR2,Lgals9  - Havcr2,Lgals9,Havcr2,GALECTIN,0.0052376337536485,0.0389624405418939,0.0145819983381085,DMH,3,0.6628286277698601
aged,Glutamatergic_Neuron,Microglia,THBS3_SDC4,Thbs3  - Sdc4,Thbs3,Sdc4,THBS,0.0033006197846693,0.0016622715230521,0.0002612374976563,ARC_ARH,3,0.6318029104948274
aged,Microglia,GABAergic_Neuron,JAM2_ITGA3_ITGB1,Jam2  - (Itga3+Itgb1),Jam2,ITGA3_ITGB1,JAM,0.0006474175153977,0.0023984795328249,0.0007786727563573,DMH,3,0.6271240047248218
aged,Glutamatergic_Neuron,Microglia,COL4A2_SDC4,Col4a2  - Sdc4,Col4a2,Sdc4,COLLAGEN,0.0058717062737841,0.0017859081506956,0.0017616117196615,ARC_ARH,3,0.6233745939747877
aged,Microglia,Microglia,JAM2_ITGAV_ITGB1,Jam2  - (Itgav+Itgb1),Jam2,ITGAV_ITGB1,JAM,0.0025199176045477,0.0124768579191388,0.005199437572133,DMH,3,0.6177820495023226
aged,Microglia,Microglia,ITGA9_ITGB1_VCAM1,Vcam1 - (Itga9+Itgb1),ITGA9_ITGB1,Vcam1,VCAM,0.0225160519027673,0.0432929812661418,0.0066858785126133,DMH,3,0.597186481938693
aged,Glutamatergic_Neuron,Microglia,COL4A2_ITGA9_ITGB1,Col4a2  - (Itga9+Itgb1),Col4a2,ITGA9_ITGB1,COLLAGEN,0.0200052949955299,0.0061884045607333,0.0076351679428255,ARC_ARH,3,0.591367564860912
aged,Microglia,Microglia,F11R_JAM2,F11r  - Jam2,F11r,Jam2,JAM,0.0051899186554185,0.0201996976271751,0.0090664909963251,DMH,3,0.5862443329153334
aged,Microglia,Microglia,JAM2_F11R,Jam2  - F11r,Jam2,F11r,JAM,0.0051899186554185,0.0201996976271751,0.0090664909963251,DMH,3,0.5862443329153334
aged,GABAergic_Neuron,Microglia,DLK1_NOTCH2,Dlk1  - Notch2,Dlk1,Notch2,NOTCH,0.123323297417439,0.0748551931723413,0.0125836628581775,ARC_ARH,3,0.5851301830017851
aged,Microglia,Microglia,LGALS9_IGHM,Lgals9  - Ighm,Lgals9,Ighm,GALECTIN,0.0183805070441934,0.0408690631747176,0.0118520347767435,DMH,3,0.5747980397438367
aged,Microglia,Microglia,LGALS9_CD45,Lgals9  - Cd45,Lgals9,Ptprc,GALECTIN,0.0324486095232841,0.0788796599979901,0.0302457866759059,DMH,3,0.557161828347785
aged,Glutamatergic_Neuron,Microglia,JAG2_NOTCH1,Jag2  - Notch1,Jag2,Notch1,NOTCH,0.0046840908460028,0.0020167503507641,0.0018531021756686,ARC_ARH,3,0.5475943248057228
aged,Glutamatergic_Neuron,Microglia,DLK1_NOTCH2,Dlk1  - Notch2,Dlk1,Notch2,NOTCH,0.027832810693194,0.0081662807864617,0.0417252934915967,PVN_PVH,3,0.5368365861819637
aged,GABAergic_Neuron,Microglia,JAG2_NOTCH1,Jag2  - Notch1,Jag2,Notch1,NOTCH,0.0041333768049233,0.002335315919396,0.0013789540655062,ARC_ARH,3,0.5267027065687429
aged,Glutamatergic_Neuron,Microglia,DLK1_NOTCH1,Dlk1  - Notch1,Dlk1,Notch1,NOTCH,0.0085265056240444,0.0015680943983367,0.0112080624310444,PVN_PVH,3,0.5261343484657239
aged,GABAergic_Neuron,Microglia,JAM3_ITGAM_ITGB2,Jam3  - (Itgam+Itgb2),Jam3,ITGAM_ITGB2,JAM,0.0462234637046891,0.0371931560517388,0.0096302785414465,ARC_ARH,3,0.4967759758763315
aged,Glutamatergic_Neuron,Microglia,SEMA4D_PLXNB2,Sema4d  - Plxnb2,Sema4d,Plxnb2,SEMA4,0.0328484873005026,0.0426979643543696,0.0124854107268493,DMH,3,0.4850285248849871
aged,Microglia,Glutamatergic_Neuron,JAM2_ITGA3_ITGB1,Jam2  - (Itga3+Itgb1),Jam2,ITGA3_ITGB1,JAM,0.0006161617060768,0.0021169354248936,0.0016878301189313,DMH,3,0.4788442118023602
aged,Glutamatergic_Neuron,Microglia,JAM3_F11R,Jam3  - F11r,Jam3,F11r,JAM,0.0351115427727112,0.0482616272952867,0.0174831169770678,DMH,3,0.4785187786383946
aged,Microglia,Glutamatergic_Neuron,F11R_JAM3,F11r  - Jam3,F11r,Jam3,JAM,0.0351115427727112,0.0482616272952867,0.0174831169770678,DMH,3,0.4785187786383946
aged,Glutamatergic_Neuron,Microglia,JAG2_NOTCH2,Jag2  - Notch2,Jag2,Notch2,NOTCH,0.0154254940138415,0.0104829582035351,0.0070811275978489,ARC_ARH,3,0.4675868592377363
aged,Glutamatergic_Neuron,Microglia,SEMA6A_PLXNA4,Sema6a  - Plxna4,Sema6a,Plxna4,SEMA6,0.0721977334879286,0.0544320972883441,0.0284627701478918,ARC_ARH,3,0.4655137192699834
aged,Microglia,Microglia,PTPRM_PTPRM,Ptprm  - Ptprm,Ptprm,Ptprm,PTPRM,0.165613985616693,0.125826357595141,0.0656300929162193,ARC_ARH,3,0.4638132112310647
aged,GABAergic_Neuron,Microglia,JAM3_F11R,Jam3  - F11r,Jam3,F11r,JAM,0.0457896675630352,0.0429589036437149,0.0111202045376922,ARC_ARH,3,0.4584983366547867
aged,Microglia,GABAergic_Neuron,F11R_JAM3,F11r  - Jam3,F11r,Jam3,JAM,0.0457896675630352,0.0429589036437149,0.0111202045376922,ARC_ARH,3,0.4584983366547867
