source,target,interaction_name,delta_prob_female,log2FC_female,status_female,delta_prob_male,log2FC_male,status_male,direction_consistent
Pericyte,MOL,NRG1_ERBB3,0.0,,,0.0625897750274041,35.86520793956684,gained,False
Pericyte,MOL,PROS1_TYRO3,0.0846993054251635,36.301631087706916,gained,-0.0875832788748574,-36.34993641018955,lost,False
Pericyte,MOL,PSAP_GPR37,0.0030599701689709713,0.015477452562727454,shared,0.0038072550934549754,0.01860843224928384,shared,True
Pericyte,MOL,PTN_NCL,-0.0063873750104290195,-0.029137186444841083,shared,0.005676333953340995,0.026107920224499755,shared,False
Pericyte,MOL,SEMA5A_PLXNB3,-0.03602432997947699,-0.21886066850784408,shared,-0.11396875865817199,-0.6854463705198082,shared,True
Pericyte,MOL,VTN_ITGAV_ITGB1,0.02740353516342603,0.12690900237908703,shared,0.007717278763281987,0.03789833509366534,shared,True
Pericyte,MOL,VTN_ITGAV_ITGB5,0.215186234845772,37.646794837485174,gained,0.194370860402226,37.50002099365718,gained,True
Pericyte,MOL,VTN_ITGAV_ITGB8,0.03248596965991901,0.130228614001392,shared,-0.02133956239351703,-0.09511302593983166,shared,False
Pericyte,Microglia,ANGPTL2_TLR4,-0.0430016963229406,-1.6177394460908507,shared,0.000531122100634697,0.03804961714520645,shared,False
Pericyte,Microglia,APP_CD74,0.041592899454601005,1.0293627943375478,shared,0.0,,,False
Pericyte,Microglia,BMP4_BMPR1A_ACVR2A,-0.0020215894072744007,-0.30609213765537074,shared,0.0097734312743164,33.18621800930208,gained,False
Pericyte,Microglia,BMP4_BMPR1A_BMPR2,-0.002538717960133101,-0.2032443904024573,shared,0.0174994508627142,34.02659059958115,gained,False
Pericyte,Microglia,BMP5_ACVR1_ACVR2A,-0.022954388438760902,-0.9522565462219249,shared,-0.00016562538522510092,-0.0083502482118004,shared,True
Pericyte,Microglia,BMP5_ACVR1_ACVR2B,0.0,,,-0.0268381365945604,-34.643565455818994,lost,False
Pericyte,Microglia,BMP5_ACVR1_BMPR2,-0.034936280742185896,-0.8065736889916847,shared,-5.629148395340511e-05,-0.0016368351140898778,shared,True
Pericyte,Microglia,BMP5_BMPR1A_ACVR2A,-0.0048693495683498,-0.2678243999207911,shared,-0.0005203950412996025,-0.02664140190357556,shared,True
Pericyte,Microglia,BMP5_BMPR1A_ACVR2B,0.0,,,-0.0265969924405334,-34.63054406546476,lost,False
Pericyte,Microglia,BMP5_BMPR1A_BMPR2,-0.005499485240775405,-0.16493871119470768,shared,-0.0006486809919537054,-0.019140331515040705,shared,True
Pericyte,Microglia,COL1A2_ITGA9_ITGB1,-0.014128175689644099,-0.2822197111634711,shared,-0.1416685885024514,-1.6844202743508203,shared,True
Pericyte,Microglia,COL1A2_SDC4,-0.003200901386277901,-0.2338764655905241,shared,0.0180230494144855,34.06912407791634,gained,False
Pericyte,Microglia,COL4A1_ITGA9_ITGB1,-0.08101138752777304,-0.4347480417536149,shared,-0.118068233554915,-0.7001271089249907,shared,True
Pericyte,Microglia,COL4A1_SDC4,-0.029225137677515195,-0.48336067646810366,shared,0.0588925842696086,35.77736693081437,gained,False
Pericyte,Microglia,COL4A2_ITGA9_ITGB1,-0.09525033283383699,-0.6017227106394688,shared,-0.10745245125792202,-0.6967439966868414,shared,True
Pericyte,Microglia,COL4A2_SDC4,-0.032936256349093,-0.6639430324181759,shared,0.0532059780990261,35.6308693015686,gained,False
Pericyte,Microglia,COL4A3_ITGA9_ITGB1,-0.00544024833266131,-0.09929855590792158,shared,0.047540019185807594,0.7302126645859183,shared,False
Pericyte,Microglia,COL4A3_SDC4,-0.0006219590612459996,-0.04129656286500593,shared,0.0352205618381308,35.03569887212743,gained,False
Pericyte,Microglia,COL4A4_ITGA9_ITGB1,0.0466642460626418,35.441598535583935,gained,-0.006527130239923698,-0.13656716478155287,shared,False
Pericyte,Microglia,COL4A4_SDC4,0.0127946594747657,33.574822700067976,gained,0.018542700851695,34.11013234510249,gained,True
Pericyte,Microglia,COL4A5_ITGA9_ITGB1,0.1008991740945826,1.2021119779978398,shared,-0.014125259109984106,-0.2835766292483596,shared,False
Pericyte,Microglia,COL4A5_SDC4,0.0335588267389499,1.3845314428019884,shared,0.0183325254695024,34.093686492678145,gained,True
Pericyte,Microglia,COL4A6_ITGA9_ITGB1,0.0,,,-0.012985101237643001,-0.2862474476502269,shared,False
Pericyte,Microglia,COL4A6_SDC4,0.0,,,0.0166047898823475,33.950880415997865,gained,False
Pericyte,Microglia,GRN_SORT1,0.0,,,-0.0555446165046374,-35.692928038399934,lost,False
Pericyte,Microglia,IGF2_IGF1R,-0.1365267981151927,-1.7321600461560107,shared,-0.034647483413767,-0.28964487213563955,shared,True
Pericyte,Microglia,IGF2_ITGAV_ITGB3,0.0,,,0.0958484515752968,36.48003607433782,gained,False
Pericyte,Microglia,IL34_CSF1R,-0.023586848676586003,-0.08018699050057551,shared,-0.024939452266727002,-0.08413519472774626,shared,True
Pericyte,Microglia,ITGA4_ITGB1_VCAM1,0.0872244763301788,36.34401397982375,gained,0.0,,,False
Pericyte,Microglia,JAG1_NOTCH1,0.0047866928910446,0.40976590815155334,shared,-0.0173850019897148,-34.01712418113872,lost,False
Pericyte,Microglia,JAG1_NOTCH2,0.018590746412086703,0.514563643944631,shared,0.0049320181787696,0.12939678432805274,shared,True
Pericyte,Microglia,JAM3_F11R,-0.006165268641547497,-0.08979604972144004,shared,-0.0080420423549344,-0.11836468214985135,shared,True
Pericyte,Microglia,JAM3_ITGAM_ITGB2,0.008979529948730997,0.14640796815173088,shared,0.0006894383155996026,0.012026750716194247,shared,True
Pericyte,Microglia,LAMA2_ITGA6_ITGB1,-0.024410424836038003,-0.10852378774522135,shared,-0.011997635635912995,-0.0547000414309586,shared,True
Pericyte,Microglia,LAMA2_ITGA9_ITGB1,-0.023672989785277043,-0.10662769377752356,shared,-0.04283609819005002,-0.20739003484514287,shared,True
Pericyte,Microglia,LAMA2_SV2A,0.0,,,0.0824887489564959,36.263478305442455,gained,False
