source,target,interaction_name,ligand,receptor,interaction_name_2,pathway_name,annotation,evidence,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
Microglia,Tanycyte,GRN_SORT1,Grn,Sort1,Grn  - Sort1,GRN,Secreted Signaling,PMID: 29555433,0.232944202903488,0.0,0.23977741661539,0.0,0.006833213711902014,0.04171135753439945,Female,shared
Tanycyte,Microglia,COL4A6_ITGA9_ITGB1,Col4a6,ITGA9_ITGB1,Col4a6  - (Itga9+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0736761192582465,0.0,0.0673653931610893,0.0,-0.0063107260971572016,-0.12918942957396817,Female,shared
Microglia,Tanycyte,F11R_JAM3,F11r,Jam3,F11r  - Jam3,JAM,Cell-Cell Contact,KEGG: mmu04514,0.20748424233117,0.0,0.21365037491833,0.0,0.006166132587160006,0.042250075481955,Female,shared
Tanycyte,Microglia,JAM3_F11R,Jam3,F11r,Jam3  - F11r,JAM,Cell-Cell Contact,KEGG: mmu04514,0.20748424233117,0.0,0.21365037491833,0.0,0.006166132587160006,0.042250075481955,Female,shared
Tanycyte,Microglia,PTN_SDC4,Ptn,Sdc4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.103988173393104,0.0,0.110018548087058,0.0,0.0060303746939539965,0.08132730945246257,Female,shared
Tanycyte,Microglia,PTN_NCL,Ptn,Ncl,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.263197107120881,0.0,0.269209448822392,0.0,0.0060123417015109926,0.03258541507011976,Female,shared
Tanycyte,Microglia,COL4A1_ITGA9_ITGB1,Col4a1,ITGA9_ITGB1,Col4a1  - (Itga9+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0535429784391682,0.0,0.0483509016459805,0.0,-0.0051920767931877,-0.14715460082894657,Female,shared
Tanycyte,Microglia,MDK_SDC4,Mdk,Sdc4,Mdk  - Sdc4,MK,Secreted Signaling,PMID: 28356350,0.0526039958475062,0.0,0.0577773834178936,0.0,0.0051733875703874055,0.1353324774948606,Female,shared
Microglia,Tanycyte,LRRC4_NTNG2,Lrrc4,Ntng2,Lrrc4  - Ntng2,NGL,Cell-Cell Contact,KEGG: mmu04514,0.0179737357015208,0.0,0.0129748980095979,0.0,-0.004998837691922902,-0.4701670947656466,Female,shared
Tanycyte,Microglia,LAMB2_ITGA6_ITGB1,Lamb2,ITGA6_ITGB1,Lamb2  - (Itga6+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.0640652822222278,0.0,0.0592159808039669,0.0,-0.004849301418260905,-0.11355618104246931,Female,shared
Tanycyte,Microglia,COL4A5_SDC4,Col4a5,Sdc4,Col4a5  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0646710079285266,0.0,0.0600349314641244,0.0,-0.004636076464402207,-0.107316915164555,Female,shared
Tanycyte,Microglia,LAMB2_ITGA9_ITGB1,Lamb2,ITGA9_ITGB1,Lamb2  - (Itga9+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.0628419567500434,0.0,0.0582232235240224,0.0,-0.004618733226021007,-0.11013338707912637,Female,shared
Microglia,Tanycyte,GAS6_MERTK,Gas6,Mertk,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848,0.0522672619585052,0.0,0.049615152730206,0.0,-0.0026521092282991987,-0.0751267905092157,Female,shared
Tanycyte,Microglia,THBS3_SDC4,Thbs3,Sdc4,Thbs3  - Sdc4,THBS,ECM-Receptor,KEGG: mmu04512,0.0202783346221207,0.0,0.0178822163753497,0.0,-0.002396118246771002,-0.1814136149294434,Female,shared
Tanycyte,Microglia,FGF10_FGFR2,Fgf10,Fgfr2,Fgf10  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358,0.165862059254436,0.0,0.164407386423833,0.0,-0.0014546728306029932,-0.012708792033011259,Female,shared
Tanycyte,Microglia,COL4A6_SDC4,Col4a6,Sdc4,Col4a6  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0197262420070198,0.0,0.0187663842156861,0.0,-0.000959857791333698,-0.07196543041805793,Female,shared
Tanycyte,Microglia,COL4A1_SDC4,Col4a1,Sdc4,Col4a1  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0141111587588646,0.0,0.0132741616116415,0.0,-0.0008369971472231008,-0.0882157177261352,Female,shared
Microglia,Tanycyte,VSIR_IGSF11,Vsir,Igsf11,Vsir  - Igsf11,VISTA,Cell-Cell Contact,KEGG: mmu04514,0.0874174795987078,0.0,0.0869374162234167,0.0,-0.00048006337529109266,-0.00794456384779008,Female,shared
Microglia,Tanycyte,GAS6_AXL,Gas6,Axl,Gas6  - Axl,GAS,Secreted Signaling,PMID: 27801848,0.0165753640487339,0.0,0.0161915114743641,0.0,-0.0003838525743698022,-0.03380288972335324,Female,shared
Tanycyte,Microglia,RARRES2_CMKLR1,Rarres2,Cmklr1,Rarres2  - Cmklr1,CHEMERIN,Secreted Signaling,PMID: 24671882,0.0192392196321204,0.0,0.0193516051866096,0.0,0.00011238555448920065,0.008402958022024032,Female,shared
Microglia,Tanycyte,JAM2_JAM3,Jam2,Jam3,Jam2  - Jam3,JAM,Cell-Cell Contact,PMC1237098;  PMID: 11590146,0.0451889118320957,0.0,0.0451680807938709,0.0,-2.08310382248042e-05,-0.0006652022206994645,Female,shared
Tanycyte,Microglia,JAM3_JAM2,Jam3,Jam2,Jam3  - Jam2,JAM,Cell-Cell Contact,KEGG: mmu04514,0.0451889118320957,0.0,0.0451680807938709,0.0,-2.08310382248042e-05,-0.0006652022206994645,Female,shared
Microglia,Tanycyte,PSAP_GPR37L1,,,,,,,0.0,1.0,0.242588787547163,0.0,0.242588787547163,37.81972191440702,Male,gained
Tanycyte,Microglia,PTN_ITGAV_ITGB3,,,,,,,0.0,1.0,0.174200776654374,0.0,0.174200776654374,37.34196009981234,Male,gained
Tanycyte,Microglia,GDF11_TGFBR1_ACVR2B,Gdf11,TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350,0.124617803549017,0.0,0.0,1.0,-0.124617803549017,-36.858719237792876,Male,lost
