source,target,pathway_name,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
Glutamatergic_Neuron,Astrocyte,HH,0.0,1.0,0.0460214398826193,0.0,0.0460214398826193,35.421587071081,Female,gained
GABAergic_Neuron,GABAergic_Neuron,NECTIN,0.121389784465775,0.0,0.167375530718789,0.0,0.04598574625301399,0.46344161311428883,Female,shared
Endothelial,Glutamatergic_Neuron,PTN,1.32295791115316,0.0,1.27700662745202,0.0,-0.04595128370113999,-0.05100115175147963,Female,shared
Endothelial,MOL,LAMININ,0.710024004007186,0.0009090909090909,0.664127709183649,0.0,-0.045896294823536965,-0.09640710617897227,Female,shared
Ependymal,Endothelial,EPHA,0.0619779007239179,0.04,0.107794259866611,0.0,0.045816359142693094,0.7984545606088046,Female,shared
Astrocyte,MOL,NCAM,0.925029580702845,0.0,0.879241387923609,0.0,-0.04578819277923607,-0.07324020216082948,Female,shared
GABAergic_Neuron,Glutamatergic_Neuron,SEMA6,0.731615088495961,0.0,0.685968501845019,0.0,-0.04564658665094201,-0.0929424963213749,Female,shared
OPC,Ependymal,WNT,0.113414642686746,0.0,0.0680854146713663,0.0,-0.0453292280153797,-0.7361892343099288,Female,shared
Astrocyte,Tanycyte,FGF,0.449392962955276,0.0,0.404064784143122,0.0,-0.04532817881215395,-0.15339091315599604,Female,shared
Astrocyte,Glutamatergic_Neuron,PTN,1.15661874154924,0.0,1.11133832121642,0.0,-0.04528042033281987,-0.057615305790174154,Female,shared
OPC,Endothelial,PTPRM,0.3472346886141,0.0,0.302038575130296,0.0,-0.04519611348380398,-0.20117826324847546,Female,shared
Endothelial,OPC,PTPRM,0.3472346886141,0.0,0.302038575130296,0.0,-0.04519611348380398,-0.20117826324847546,Female,shared
Pericyte,SMC,CD46,0.0,1.0,0.0445565972565693,0.0,0.0445565972565693,35.374920008592014,Female,gained
SMC,MOL,PSAP,0.285671826894995,0.0,0.330107738111828,0.0,0.04443591121683299,0.2085781934667829,Female,shared
Microglia,OPC,OSM,0.0,1.0,0.0444312815827801,0.0,0.0444312815827801,35.37085670417379,Female,gained
Ependymal,Tanycyte,SEMA4,0.0568921027695934,0.0,0.101216691136495,0.0,0.04432458836690159,0.8311469071473929,Female,shared
SMC,OPC,ncWNT,0.274557426705038,0.0,0.230293419217721,0.0,-0.044264007487317014,-0.253634750541465,Female,shared
Tanycyte,MOL,VEGF,0.0,1.0,0.044213881348839,0.0,0.044213881348839,35.3637803368271,Female,gained
Glutamatergic_Neuron,Microglia,SEMA6,0.376307555222278,0.0,0.332176335861707,0.0,-0.04413121936057102,-0.1799629552330468,Female,shared
SMC,Microglia,BMP,0.0308803664810073,0.0,0.0749415598716063,0.0,0.04406119339059901,1.2790761326609998,Female,shared
Tanycyte,Pericyte,VEGF,0.0438997466555813,0.0,0.0,1.0,-0.0438997466555813,-35.35349356293156,Female,lost
Glutamatergic_Neuron,OPC,GDF,0.0438932586934917,0.0,0.0,1.0,-0.0438932586934917,-35.353280330665235,Female,lost
GABAergic_Neuron,OPC,GDF,0.0438015734353126,0.0033333333333333,0.0,1.0,-0.0438015734353126,-35.35026364399673,Female,lost
SMC,Ependymal,TGFb,0.0436660389952167,0.0,0.0,1.0,-0.0436660389952167,-35.34579261716392,Female,lost
Microglia,MOL,CD39,0.346114449557663,0.0,0.30252429714776,0.0,-0.043590152409902994,-0.19419815561635498,Female,shared
GABAergic_Neuron,Glutamatergic_Neuron,NCAM,1.72949461600875,0.0,1.68627987251782,0.0,-0.04321474349093002,-0.03650652174363913,Female,shared
Astrocyte,Glutamatergic_Neuron,SEMA5,0.0431916473214516,0.0,0.0,1.0,-0.0431916473214516,-35.330033290623696,Female,lost
