source,target,pathway_name,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
SMC,MOL,VTN,0.177793632346985,0.0,0.547233618237434,0.0,0.369439985890449,1.6219532069359628,Male,shared
OPC,Ependymal,JAM,0.422172390108197,0.0,0.0534707953994243,0.0,-0.36870159470877273,-2.9810091874412987,Male,shared
Glutamatergic_Neuron,GABAergic_Neuron,NRG,0.869540111212505,0.0066666666666666,0.503412341196053,0.0,-0.3661277700164519,-0.7885119947484108,Male,shared
Pericyte,Glutamatergic_Neuron,LAMININ,3.79389978298467,0.0,3.42990517951786,0.0,-0.36399460346681023,-0.14551287669683746,Male,shared
OPC,OPC,NRG,1.22514542791013,0.0,0.862255227615169,0.0,-0.3628902002949609,-0.5067661355136723,Male,shared
Endothelial,Astrocyte,LAMININ,1.48894004463722,0.0,1.12689260206564,0.00125,-0.36204744257158006,-0.40193563514648023,Male,shared
Tanycyte,Tanycyte,JAM,0.629040923172268,0.0,0.267244393058468,0.0,-0.36179653011380003,-1.2349941970899494,Male,shared
GABAergic_Neuron,SMC,TENASCIN,0.541954431208752,0.0,0.180232860125667,0.0,-0.361721571083085,-1.5883094836554958,Male,shared
Ependymal,OPC,LAMININ,0.537230706078538,0.0,0.89852666883995,0.0,0.36129596276141207,0.7420195583483084,Male,shared
Glutamatergic_Neuron,SMC,TENASCIN,0.573998992588489,0.0,0.214247155202438,0.0,-0.359751837386051,-1.4217721566606905,Male,shared
OPC,Astrocyte,NRG,1.04074294518829,0.0,0.685809962843337,0.0,-0.35493298234495296,-0.6017330112723871,Male,shared
SMC,Astrocyte,LAMININ,3.33668847875334,0.0,2.98245903625318,0.0,-0.3542294425001602,-0.16191467653611374,Male,shared
Ependymal,OPC,COLLAGEN,0.853154771919456,0.0,0.508302160405154,0.0,-0.344852611514302,-0.7471211238764678,Male,shared
Ependymal,SMC,JAM,0.343783196398547,0.0,0.0,1.0,-0.343783196398547,-38.322708073558054,Male,lost
Endothelial,Ependymal,JAM,0.491894093542941,0.0,0.148720601980039,0.0,-0.343173491562902,-1.7257432168701228,Male,shared
Ependymal,Tanycyte,NRG,0.0,1.0,0.342775107159086,0.0,0.342775107159086,38.31847138634826,Male,gained
Endothelial,SMC,COLLAGEN,1.34827860145047,0.0,1.00710033504687,0.0,-0.34117826640360005,-0.4209112156763912,Male,shared
Ependymal,Pericyte,LAMININ,0.470886171730738,0.0,0.80964054406683,0.0,0.33875437233609196,0.7819031807553937,Male,shared
GABAergic_Neuron,Endothelial,VEGF,0.613683336832674,0.0,0.951020494380623,0.0,0.337337157547949,0.6319820204063985,Male,shared
MOL,Astrocyte,LAMININ,0.703721213417825,0.0,0.3699087277768,0.0,-0.333812485641025,-0.9278346627857416,Male,shared
Pericyte,OPC,LAMININ,4.47793860408142,0.0,4.14887762856095,0.0,-0.32906097552047076,-0.11011364244317029,Male,shared
Endothelial,Endothelial,FN1,0.466707169626393,0.0,0.140433843120427,0.0,-0.326273326505966,-1.7326269780680617,Male,shared
Tanycyte,OPC,JAM,0.701481426591196,0.0,0.376373049741411,0.0,-0.32510837684978494,-0.8982415781941434,Male,shared
MOL,Pericyte,LAMININ,0.778060140146998,0.0,0.457719428916127,0.0,-0.320340711230871,-0.7654181409834753,Male,shared
Ependymal,Tanycyte,PSAP,0.0,1.0,0.318547915352034,0.0,0.318547915352034,38.2127194399253,Male,gained
Ependymal,Ependymal,PTPRM,0.317695055504782,0.0,0.0,1.0,-0.317695055504782,-38.20885168038841,Male,lost
Microglia,Tanycyte,PSAP,0.0,1.0,0.316888706411885,0.0,0.316888706411885,38.205185288231974,Male,gained
SMC,Pericyte,NOTCH,0.548919686585621,0.0,0.233276277005569,0.0,-0.315643409580052,-1.23455548125775,Male,shared
Pericyte,Microglia,PTN,0.286207375795873,0.0,0.601481323428031,0.0,0.31527394763215794,1.0714590890661926,Male,shared
MOL,Glutamatergic_Neuron,LAMININ,0.757090054947543,0.0,0.445164271844081,0.0,-0.311925783103462,-0.7661271082659744,Male,shared
Pericyte,MOL,COLLAGEN,1.06021752713977,0.0,0.74837323800822,0.0,-0.31184428913155005,-0.5025304225207146,Male,shared
Ependymal,Glutamatergic_Neuron,LAMININ,0.447768050392647,0.0,0.757778172968634,0.0021428571428571,0.31001012257598703,0.7590239938773439,Male,shared
MOL,OPC,PTN,1.53696991203091,0.0,1.22712869835621,0.0,-0.30984121367469997,-0.3248023594955755,Male,shared
Tanycyte,Tanycyte,PSAP,0.0,1.0,0.308449761515694,0.0,0.308449761515694,38.16624457458505,Male,gained
Endothelial,OPC,LAMININ,1.9132855981642,0.0025,1.60495222996573,0.0006666666666666,-0.3083333681984701,-0.2535218849734001,Male,shared
SMC,Tanycyte,VTN,0.212129736252014,0.0,0.520323050328397,0.0,0.30819331407638295,1.2944607487712303,Male,shared
SMC,Astrocyte,VTN,0.21788058591357,0.0,0.523053621703188,0.0,0.305173035789618,1.263421202387841,Male,shared
Astrocyte,Microglia,SEMA4,0.0583207210261666,0.0,0.361930326299406,0.0,0.30360960527323944,2.633631535697214,Male,shared
Pericyte,Pericyte,LAMININ,3.78081098942236,0.0,3.4780543488657,0.0,-0.30275664055665974,-0.12041525111216711,Male,shared
OPC,Tanycyte,JAM,0.68659870633886,0.0,0.383957232328612,0.0,-0.302641474010248,-0.8385215159567613,Male,shared
Microglia,Ependymal,JAM,0.401283423264189,0.0,0.0990662629308162,0.0,-0.30221716033337276,-2.018155825030564,Male,shared
Ependymal,Ependymal,JAM,0.300104777353617,0.0,0.0,1.0,-0.300104777353617,-38.126675329078246,Male,lost
Tanycyte,Microglia,PTN,0.249369485921483,0.0,0.549030949751268,0.0,0.299661463829785,1.1386025378460016,Male,shared
Microglia,Microglia,GALECTIN,0.204117389118409,0.0,0.499396640382131,0.0,0.295279251263722,1.2907870224473927,Male,shared
SMC,Ependymal,JAM,0.295079850366477,0.0,0.0,1.0,-0.295079850366477,-38.102314452950374,Male,lost
Tanycyte,Microglia,JAM,0.863557724953791,0.0,0.569291943150924,0.0,-0.294265781802867,-0.6011239363861542,Male,shared
MOL,Tanycyte,PSAP,0.0,1.0,0.293096039647946,0.0,0.293096039647946,38.09258251804082,Male,gained
MOL,OPC,NRXN,0.502420921769522,0.0,0.21014720499382,0.0,-0.292273716775702,-1.2574962736197903,Male,shared
SMC,SMC,NOTCH,0.54486749105128,0.0,0.254059226035641,0.0,-0.29080826501563894,-1.1007405607424876,Male,shared
GABAergic_Neuron,Tanycyte,NRXN,0.780759307760508,0.0,0.49175902573988,0.0,-0.28900028202062794,-0.6669263313663213,Male,shared
Pericyte,Astrocyte,CDH,0.287550480616438,0.0,0.0,1.0,-0.287550480616438,-38.06502429283863,Male,lost
Astrocyte,Pericyte,CDH,0.287550480616438,0.0,0.0,1.0,-0.287550480616438,-38.06502429283863,Male,lost
SMC,OPC,VTN,0.195592359222367,0.0,0.481703638562492,0.0,0.286111279340125,1.3002958086121925,Male,shared
