source,target,interaction_name,ligand,receptor,interaction_name_2,pathway_name,annotation,evidence,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
Endothelial,Endothelial,FN1_ITGAV_ITGB1,Fn1,ITGAV_ITGB1,Fn1  - (Itgav+Itgb1),FN1,ECM-Receptor,KEGG: mmu04512,0.160263891099534,0.0,0.0,1.0,-0.160263891099534,-37.221658453667736,Female,lost
Pericyte,Ependymal,LAMA2_ITGAV_ITGB8,,,,,,,0.0,1.0,0.160134812794246,0.0,0.160134812794246,37.22049602299161,Female,gained
Glutamatergic_Neuron,GABAergic_Neuron,PTPRM_PTPRM,,,,,,,0.0,1.0,0.160001642068691,0.0,0.160001642068691,37.2192957550839,Female,gained
GABAergic_Neuron,Glutamatergic_Neuron,PTPRM_PTPRM,,,,,,,0.0,1.0,0.160001642068691,0.0,0.160001642068691,37.2192957550839,Female,gained
Tanycyte,Endothelial,VEGFA_VEGFR2,Vegfa,Kdr,Vegfa  - Vegfr2,VEGF,Secreted Signaling,KEGG: mmu04370; PMID: 16633338,0.128105387206387,0.0,0.287962988561999,0.0,0.15985760135561197,1.1685522497088339,Female,shared
Pericyte,Tanycyte,AGRN_DAG1,,,,,,,0.0,1.0,0.159642024016817,0.0,0.159642024016817,37.21604951901544,Female,gained
Ependymal,Glutamatergic_Neuron,LRRC4C_NTNG1,Lrrc4c,Ntng1,Lrrc4c  - Ntng1,NGL,Cell-Cell Contact,KEGG: mmu04514,0.159250897905791,0.0,0.0,1.0,-0.159250897905791,-37.212510550635166,Female,lost
Astrocyte,GABAergic_Neuron,LRRC4B_PTPRF,,,,,,,0.0,1.0,0.15905129691749,0.0,0.15905129691749,37.210701179550675,Female,gained
Endothelial,Microglia,NAMPT_INSR,Nampt,Insr,Nampt  - Insr,VISFATIN,Secreted Signaling,PMID: 28490838,0.158508313317616,0.0,0.0,1.0,-0.158508313317616,-37.2057675514381,Female,lost
Astrocyte,Glutamatergic_Neuron,LRRC4B_PTPRF,,,,,,,0.0,1.0,0.158226525628828,0.0,0.158226525628828,37.203200522122316,Female,gained
Pericyte,Tanycyte,VTN_ITGAV_ITGB8,Vtn,ITGAV_ITGB8,Vtn  - (Itgav+Itgb8),VTN,ECM-Receptor,KEGG: mmu04512,0.125459913863042,0.0,0.28254711342641,0.0,0.15708719956336797,1.1712649730648506,Female,shared
SMC,Pericyte,COL4A6_ITGA1_ITGB1,Col4a6,ITGA1_ITGB1,Col4a6  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.11826958884529,0.0,0.275336520694674,0.0,0.15706693184938403,1.219116826850227,Female,shared
SMC,Ependymal,JAG1_NOTCH1,Jag1,Notch1,Jag1  - Notch1,NOTCH,Cell-Cell Contact,PMID: 22353464,0.22583639702613,0.0,0.0688878147222677,0.0,-0.15694858230386233,-1.7129572991291213,Female,shared
Ependymal,SMC,LAMA3_DAG1,Lama3,Dag1,Lama3  - Dag1,LAMININ,ECM-Receptor,KEGG: mmu04512,0.257743315079994,0.0,0.102039952557868,0.0,-0.15570336252212597,-1.336800876540048,Female,shared
Ependymal,MOL,LAMA3_SV2A,Lama3,Sv2a,Lama3  - Sv2a,LAMININ,ECM-Receptor,KEGG: mmu04512,0.25177697221293,0.0,0.0968022345369837,0.0,-0.1549747376759463,-1.3790340831869,Female,shared
OPC,Endothelial,VEGFA_VEGFR1,Vegfa,Flt1,Vegfa  - Vegfr1,VEGF,Secreted Signaling,KEGG: mmu04370; PMID: 16633338,0.122076709467976,0.0,0.276027628552623,0.0,0.15395091908464698,1.1770246980178483,Female,shared
SMC,SMC,COL4A5_ITGA10_ITGB1,,,,,,,0.0,1.0,0.153718804113072,0.0,0.153718804113072,37.16150270158575,Female,gained
OPC,GABAergic_Neuron,LRRC4C_NTNG1,Lrrc4c,Ntng1,Lrrc4c  - Ntng1,NGL,Cell-Cell Contact,KEGG: mmu04514,0.29140584966148,0.0,0.138780991446547,0.0,-0.152624858214933,-1.0702198598435375,Female,shared
Pericyte,GABAergic_Neuron,LRRC4C_NTNG1,Lrrc4c,Ntng1,Lrrc4c  - Ntng1,NGL,Cell-Cell Contact,KEGG: mmu04514,0.152499748968977,0.0,0.0,1.0,-0.152499748968977,-37.15001591161639,Female,lost
Ependymal,Ependymal,LAMA3_DAG1,Lama3,Dag1,Lama3  - Dag1,LAMININ,ECM-Receptor,KEGG: mmu04512,0.243893269582386,0.0,0.0915424317734799,0.0,-0.1523508378089061,-1.4137374244755723,Female,shared
Pericyte,SMC,COL4A5_ITGA1_ITGB1,Col4a5,ITGA1_ITGB1,Col4a5  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.119157675206489,0.0,0.271379060183562,0.0,0.152221384977073,1.1874375239242982,Female,shared
OPC,Tanycyte,SEMA3D_NRP2_PLXNA4,Sema3d,NRP2_PLXNA4,Sema3d  - (Nrp2+Plxna4),SEMA3,Secreted Signaling,PMID: 27533782,0.151784353634327,0.0,0.0,1.0,-0.151784353634327,-37.14323212505374,Female,lost
Tanycyte,Pericyte,MIF_ACKR3,Mif,Ackr3,Mif  - Ackr3,MIF,Secreted Signaling,PMID: 26175090,0.0241003166414238,0.0,0.174482895243631,0.0,0.15038257860220722,2.855961607775791,Female,shared
Endothelial,Endothelial,SEMA3C_NRP2_PLXNA2,,,,,,,0.0,1.0,0.150065316060038,0.0,0.150065316060038,37.12679961546399,Female,gained
Ependymal,Endothelial,LAMA3_ITGA6_ITGB1,Lama3,ITGA6_ITGB1,Lama3  - (Itga6+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.245670064985336,0.0,0.0959928503516112,0.0,-0.1496772146337248,-1.3557232138161852,Female,shared
Tanycyte,Ependymal,JAM3_JAM3,,,,,,,0.0,1.0,0.149551116966683,0.0,0.149551116966683,37.12184772946211,Female,gained
Ependymal,Tanycyte,JAM3_JAM3,,,,,,,0.0,1.0,0.149551116966683,0.0,0.149551116966683,37.12184772946211,Female,gained
Pericyte,Ependymal,LAMC1_ITGAV_ITGB8,,,,,,,0.0,1.0,0.149152012880508,0.0,0.149152012880508,37.11799249146143,Female,gained
Pericyte,Glutamatergic_Neuron,AGRN_DAG1,,,,,,,0.0,1.0,0.148058927680417,0.0,0.148058927680417,37.10738052876062,Female,gained
Ependymal,Glutamatergic_Neuron,LAMA3_SV2A,Lama3,Sv2a,Lama3  - Sv2a,LAMININ,ECM-Receptor,KEGG: mmu04512,0.246355981929073,0.0,0.0985199731262381,0.0,-0.14783600880283487,-1.3222563636600482,Female,shared
SMC,Tanycyte,VTN_ITGAV_ITGB8,Vtn,ITGAV_ITGB8,Vtn  - (Itgav+Itgb8),VTN,ECM-Receptor,KEGG: mmu04512,0.0728601942403902,0.0,0.22056982775263,0.0,0.1477096335122398,1.5980327085569341,Female,shared
Endothelial,Tanycyte,PSAP_GPR37L1,,,,,,,0.0,1.0,0.147633015245938,0.0,0.147633015245938,37.10322443187182,Female,gained
SMC,SMC,VTN_ITGAV_ITGB1,Vtn,ITGAV_ITGB1,Vtn  - (Itgav+Itgb1),VTN,ECM-Receptor,KEGG: mmu04512,0.166203360811916,0.0,0.313762947344191,0.0,0.14755958653227502,0.9167254374540073,Female,shared
SMC,SMC,COL1A2_ITGA1_ITGB1,Col1a2,ITGA1_ITGB1,Col1a2  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.124350275910433,0.0,0.271188557926953,0.0,0.14683828201652,1.1248866004747278,Female,shared
SMC,Tanycyte,COL4A6_SDC4,Col4a6,Sdc4,Col4a6  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0689921180617217,0.0,0.215816019826712,0.0,0.1468239017649903,1.6452985016182717,Female,shared
Ependymal,Endothelial,LAMA3_ITGA1_ITGB1,Lama3,ITGA1_ITGB1,Lama3  - (Itga1+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.237398211680921,0.0,0.090883585232529,0.0,-0.14651462644839203,-1.3852174137848645,Female,shared
Glutamatergic_Neuron,Pericyte,MIF_ACKR3,Mif,Ackr3,Mif  - Ackr3,MIF,Secreted Signaling,PMID: 26175090,0.0738324014454251,0.0,0.220105007411745,0.0,0.14627260596631989,1.575865978092473,Female,shared
Ependymal,SMC,MDK_LRP1,Mdk,Lrp1,Mdk  - Lrp1,MK,Secreted Signaling,PMID: 28356350,0.0707871413885513,0.0,0.216589241237284,0.0,0.1458020998487327,1.6134023598130558,Female,shared
Pericyte,SMC,IGF2_IGF1R,Igf2,Igf1r,Igf2  - Igf1r,IGF,Secreted Signaling,PMID: 14604834,0.235238716330951,0.0,0.0899812788477489,0.0,-0.1452574374832021,-1.386428746713411,Female,shared
Ependymal,OPC,MDK_LRP1,Mdk,Lrp1,Mdk  - Lrp1,MK,Secreted Signaling,PMID: 28356350,0.0997728793520795,0.0,0.243898865342739,0.0,0.1441259859906595,1.289563431440658,Female,shared
Ependymal,GABAergic_Neuron,LAMA3_SV2A,Lama3,Sv2a,Lama3  - Sv2a,LAMININ,ECM-Receptor,KEGG: mmu04512,0.24168774184071,0.0,0.0977505806897511,0.0,-0.14393716115095892,-1.3059671249843745,Female,shared
Pericyte,Pericyte,COL4A5_ITGA1_ITGB1,Col4a5,ITGA1_ITGB1,Col4a5  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.113430307163279,0.0,0.257255954163917,0.0,0.143825647000638,1.1813983066280986,Female,shared
Pericyte,GABAergic_Neuron,AGRN_DAG1,,,,,,,0.0,1.0,0.143502048515772,0.0,0.143502048515772,37.06228037553229,Female,gained
Ependymal,SMC,MDK_SDC2,Mdk,Sdc2,Mdk  - Sdc2,MK,Secreted Signaling,PMID: 28356350,0.104127981849692,0.0,0.247599781802579,0.0,0.143471799952887,1.2496522334061466,Female,shared
Endothelial,Ependymal,FN1_ITGAV_ITGB8,,,,,,,0.0,1.0,0.143341207986953,0.0,0.143341207986953,37.06066246155064,Female,gained
SMC,Ependymal,COL4A6_SDC4,Col4a6,Sdc4,Col4a6  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0985568437696408,0.0,0.241729952045794,0.0,0.1431731082761532,1.2943682839143813,Female,shared
Microglia,Endothelial,TGFB1_TGFBR1_TGFBR2,,,,,,,0.0,1.0,0.143150558823996,0.0,0.143150558823996,37.058742346040106,Female,gained
GABAergic_Neuron,Pericyte,MIF_ACKR3,Mif,Ackr3,Mif  - Ackr3,MIF,Secreted Signaling,PMID: 26175090,0.0695795464836913,0.0,0.212401571575204,0.0,0.1428220250915127,1.6100592600960888,Female,shared
Ependymal,SMC,MDK_NCL,Mdk,Ncl,Mdk  - Ncl,MK,Secreted Signaling,PMID: 28356350,0.0712811542645616,0.0,0.213629454505668,0.0,0.1423483002411064,1.5835179707310056,Female,shared
Ependymal,Microglia,JAM3_ITGAM_ITGB2,Jam3,ITGAM_ITGB2,Jam3  - (Itgam+Itgb2),JAM,Cell-Cell Contact,"KEGG: mmu04514; PMID: 16118203, PMC2194005",0.0824484076532716,0.0,0.224747781395842,0.0,0.1422993737425704,1.446743338279435,Female,shared
Tanycyte,SMC,COL4A5_ITGA10_ITGB1,,,,,,,0.0,1.0,0.141737838439927,0.0,0.141737838439927,37.0444339963982,Female,gained
Ependymal,Pericyte,MDK_LRP1,Mdk,Lrp1,Mdk  - Lrp1,MK,Secreted Signaling,PMID: 28356350,0.0955281511910353,0.0,0.236980993312106,0.0,0.1414528421210707,1.3107735059466563,Female,shared
Microglia,Ependymal,TGFB1_ACVR1B_TGFBR2,Tgfb1,ACVR1B_TGFbR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815,0.140798113910198,0.0,0.0,1.0,-0.140798113910198,-37.03483705196072,Female,lost
