"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
9.13541815029536e-27,-0.35159623159069,0.295,0.37,2.12197492795061e-22,"Naa35","Neuron"
9.54253016179606e-27,-0.316352389461958,0.338,0.415,2.21653890598199e-22,"Nrp2","Neuron"
9.74927891574857e-27,-0.264413064790586,0.371,0.455,2.26456250655008e-22,"Pld3","Neuron"
1.01446939030544e-26,-0.3881212476874,0.179,0.246,2.35640949980147e-22,"Ctr9","Neuron"
1.21391371751841e-26,-0.402280005804167,0.2,0.268,2.81967878305176e-22,"Tmed8","Neuron"
1.21406590734415e-26,-0.501727028967766,0.133,0.192,2.82003228957898e-22,"Zfp871","Neuron"
1.24616463507582e-26,-0.339891670038758,0.313,0.389,2.89459121435411e-22,"Sumo2","Neuron"
1.36274530773748e-26,-0.257137660807865,0.473,0.554,3.16538480081262e-22,"Akap11","Neuron"
1.45046576077692e-26,0.688553091456632,0.301,0.238,3.36914186913262e-22,"mt-Atp6","Neuron"
1.5420367154669e-26,0.960722592662851,0.109,0.064,3.58184288268652e-22,"Psmb6","Neuron"
1.55069627635245e-26,-0.673239547462738,0.105,0.158,3.60195731071147e-22,"Gm48727","Neuron"
1.72911693996218e-26,-0.375359779191112,0.257,0.33,4.01639282814415e-22,"Elp2","Neuron"
1.77273489693282e-26,0.290094202472476,0.713,0.689,4.11770861859555e-22,"Ahcyl2","Neuron"
1.9105569578443e-26,-0.325131947703548,0.306,0.382,4.43784170168074e-22,"Ubp1","Neuron"
2.02048774637574e-26,-0.602969863370659,0.122,0.178,4.69318893728157e-22,"Diras2","Neuron"
2.0803834534563e-26,-0.382782590653972,0.223,0.293,4.83231468568829e-22,"Sod2","Neuron"
2.15734439182984e-26,-0.295836672991874,0.256,0.331,5.01107955334235e-22,"Kdm4b","Neuron"
2.20826843343621e-26,-0.272539568012124,0.448,0.529,5.12936591718562e-22,"Vti1b","Neuron"
2.2676705099946e-26,0.452114616424553,0.423,0.361,5.26734506061546e-22,"Gpi1","Neuron"
2.48671141719238e-26,-0.430563705782498,0.187,0.255,5.77613327985447e-22,"Atm","Neuron"
2.51728340265831e-26,-0.333522129429923,0.302,0.378,5.84714588769472e-22,"Ctnnal1","Neuron"
2.74670810919802e-26,0.396977843109203,0.476,0.416,6.38005359604515e-22,"Calm1","Neuron"
2.82365384684043e-26,0.879753349733877,0.152,0.101,6.55878315544095e-22,"Tmem240","Neuron"
2.82499232395859e-26,-0.451473458273796,0.145,0.206,6.56189217009101e-22,"Utp11","Neuron"
2.9500494952777e-26,-0.302437538112682,0.362,0.442,6.85237496763105e-22,"Snx3","Neuron"
2.9758848126209e-26,-0.435610730607354,0.156,0.219,6.91238524275583e-22,"Prpf8","Neuron"
3.04070350993127e-26,0.255083226082871,0.907,0.911,7.06294611286835e-22,"Ralyl","Neuron"
3.19560170802227e-26,-0.262625914877301,0.412,0.491,7.42274364739413e-22,"Actr2","Neuron"
3.19964040133954e-26,-0.449507132036582,0.151,0.212,7.43212472423149e-22,"Utp18","Neuron"
3.27758526618178e-26,-0.455619146573505,0.165,0.227,7.61317505628703e-22,"Msh2","Neuron"
3.50091374836376e-26,-0.527278421305687,0.148,0.208,8.13192245469934e-22,"Wdr75","Neuron"
3.50757136408437e-26,-0.46355812453495,0.153,0.215,8.14738676449517e-22,"Smim4","Neuron"
3.62319031687079e-26,-0.341101893869067,0.285,0.36,8.41594646802747e-22,"Ppm1b","Neuron"
3.81536957671042e-26,-0.305720559578852,0.274,0.35,8.86234045278297e-22,"Prkar1a","Neuron"
3.916666166199e-26,-0.329931020845715,0.318,0.393,9.09763217084705e-22,"D3Ertd751e","Neuron"
4.21300122275489e-26,-0.376051241431176,0.214,0.282,9.78595924021505e-22,"Gm10419","Neuron"
4.31108273981038e-26,0.640196435981033,0.182,0.126,1.00137829880315e-21,"Rpl32","Neuron"
4.44709080351575e-26,-0.301048894073674,0.35,0.429,1.03297025184064e-21,"Mob4","Neuron"
4.52449723652598e-26,-0.421573652383776,0.201,0.269,1.05095021810026e-21,"Ezh1","Neuron"
4.56411231704436e-26,-0.384498235877138,0.237,0.308,1.06015200900306e-21,"Drosha","Neuron"
4.698713696013e-26,-0.276546725751531,0.396,0.478,1.0914172173099e-21,"Zc3h14","Neuron"
4.75120034202166e-26,0.539217290633903,0.243,0.18,1.10360881544479e-21,"Stub1","Neuron"
4.93424072159714e-26,-0.690656641291377,0.078,0.125,1.14612543481258e-21,"Gm11437","Neuron"
5.11631695435445e-26,-0.485155095476524,0.166,0.229,1.18841810215745e-21,"Gm14410","Neuron"
5.34716797039269e-26,-0.649100270624884,0.075,0.122,1.24204017616281e-21,"Zim3","Neuron"
5.44500848621173e-26,-0.559135582342153,0.11,0.164,1.26476657117726e-21,"Pard6g","Neuron"
5.58229528805186e-26,-0.674673570437611,0.091,0.141,1.29665554950869e-21,"Wdr92","Neuron"
5.60630610833826e-26,-0.299511696330917,0.35,0.424,1.30223278284481e-21,"Rragb","Neuron"
5.62046837888486e-26,0.664007057259852,0.216,0.158,1.30552239504738e-21,"Ly6e","Neuron"
6.04634951610206e-26,-0.571219095033699,0.111,0.165,1.40444606560019e-21,"Tmem168","Neuron"
7.55142256187843e-26,-0.574123402913385,0.125,0.182,1.75404443267312e-21,"Rpe","Neuron"
7.56332546613768e-26,-0.735606015229489,0.063,0.107,1.75680923927446e-21,"Ptcd2","Neuron"
7.91115701439392e-26,-0.506426346846948,0.116,0.172,1.83760355130342e-21,"Cys1","Neuron"
8.06022033994317e-26,-0.565996373114763,0.134,0.192,1.872227980562e-21,"Nasp","Neuron"
8.13652359607052e-26,-0.649130813783126,0.074,0.121,1.88995170089526e-21,"Ddx20","Neuron"
8.63316633932387e-26,-0.613917689362994,0.117,0.171,2.00531187729815e-21,"Arpc5","Neuron"
8.66331665383856e-26,-0.531281567492689,0.121,0.176,2.01231519235362e-21,"Brat1","Neuron"
8.92782761915266e-26,-0.297626458389698,0.307,0.383,2.07375579937678e-21,"Acox1","Neuron"
9.08513442666864e-26,-0.256260663079187,0.373,0.454,2.11029502462659e-21,"Myo18a","Neuron"
9.11954541490069e-26,0.776569970948627,0.163,0.111,2.11828800897313e-21,"Rer1","Neuron"
1.08202745932191e-25,0.679105230469459,0.189,0.133,2.51333338251293e-21,"Cox6b1","Neuron"
1.08635506147702e-25,-0.295008373426462,0.343,0.422,2.52338553679882e-21,"Klhl22","Neuron"
1.1778910293127e-25,0.868531859782006,0.131,0.083,2.73600528288754e-21,"Atp5k","Neuron"
1.18173869219931e-25,-0.450317341186755,0.177,0.242,2.74494263424055e-21,"Igf2r","Neuron"
1.18388908548443e-25,-0.297622786061739,0.369,0.447,2.74993756776322e-21,"Nsun7","Neuron"
1.19260884443082e-25,-0.491866939437738,0.152,0.212,2.77019182384391e-21,"Ptpn23","Neuron"
1.24892393248284e-25,-0.514956086001476,0.112,0.166,2.90100051037114e-21,"Sft2d3","Neuron"
1.35016381318843e-25,-0.250219887867693,0.42,0.5,3.13616050527408e-21,"Ggps1","Neuron"
1.35174823785129e-25,-0.38880933559863,0.208,0.275,3.13984080688098e-21,"Aifm1","Neuron"
1.48808313847528e-25,-0.297302633755431,0.281,0.357,3.45651951405038e-21,"Exd2","Neuron"
1.49840488112048e-25,-0.294137511572194,0.325,0.404,3.48049485786664e-21,"Lman2l","Neuron"
1.50527369197282e-25,-0.571491264194315,0.106,0.158,3.49644973171448e-21,"AU041133","Neuron"
1.50992133865756e-25,-0.420927027214184,0.138,0.197,3.50724528543378e-21,"Adprhl2","Neuron"
1.51452510551998e-25,-0.613079245673927,0.098,0.149,3.51793891510182e-21,"Llgl1","Neuron"
1.61613584167196e-25,-0.36666371006101,0.164,0.228,3.75396033303562e-21,"Pxdn","Neuron"
1.6669744872609e-25,-0.452451317861708,0.177,0.241,3.87204833900961e-21,"Bsdc1","Neuron"
1.82276647866976e-25,-0.628530332468038,0.079,0.127,4.23392197665411e-21,"Ccp110","Neuron"
1.94158070252142e-25,-0.691881200121727,0.059,0.101,4.50990365581674e-21,"Gm13427","Neuron"
1.97501749665624e-25,-0.498103602800703,0.129,0.187,4.58757064123311e-21,"Mon1a","Neuron"
1.97771250300766e-25,-0.270756531258976,0.389,0.468,4.59383060198618e-21,"Tpp2","Neuron"
2.00118627125041e-25,-0.336082244432004,0.279,0.353,4.64835547086045e-21,"4933427D14Rik","Neuron"
2.07886316603806e-25,-0.25658673303069,0.45,0.531,4.8287833620732e-21,"Rcn2","Neuron"
2.08254168605419e-25,-0.310255751018868,0.319,0.391,4.83732782836666e-21,"Ppp1r21","Neuron"
2.0856724124627e-25,-0.382780976196236,0.194,0.261,4.84459987966836e-21,"Brsk2","Neuron"
2.09785588010906e-25,-0.461575040160299,0.128,0.185,4.87289963831732e-21,"Noc2l","Neuron"
2.15754693009888e-25,-0.718557637863702,0.074,0.119,5.01155000923368e-21,"Usp1","Neuron"
2.1741681266122e-25,-0.465994415628785,0.166,0.229,5.05015772449482e-21,"Bag4","Neuron"
2.30426485844723e-25,-0.332168405203481,0.262,0.335,5.35234641320122e-21,"Rlim","Neuron"
2.45379752122644e-25,-0.313273058864579,0.194,0.262,5.69968088230477e-21,"Rpl5","Neuron"
2.69934079977691e-25,-0.322933399203164,0.257,0.332,6.2700288097218e-21,"Hcn2","Neuron"
2.74919243415814e-25,-0.279443532078082,0.364,0.444,6.38582418606254e-21,"Prdm2","Neuron"
2.93452221654678e-25,-0.276385378097962,0.35,0.426,6.81630820459486e-21,"Ccser2","Neuron"
3.12706100093889e-25,-0.262508783206688,0.365,0.442,7.26353729298085e-21,"Dopey2","Neuron"
3.17908627080385e-25,-0.587053217503067,0.096,0.147,7.38438158982319e-21,"Ccdc117","Neuron"
3.42322138196344e-25,-0.389890026190586,0.195,0.262,7.95145862602469e-21,"Mkrn1","Neuron"
3.48569087855331e-25,-0.357492784435993,0.211,0.279,8.09656277270362e-21,"Ankrd13d","Neuron"
3.53380986235281e-25,-0.439459469627415,0.186,0.251,8.20833354827312e-21,"Ccdc191","Neuron"
3.95715809919913e-25,-0.562055690127707,0.127,0.183,9.19168683281975e-21,"2810004N23Rik","Neuron"
4.01639156668369e-25,-0.508102558140441,0.082,0.13,9.32927433109288e-21,"Ppp4c","Neuron"
4.20601584698767e-25,0.707065888982466,0.315,0.256,9.76973360938296e-21,"Gabra4","Neuron"
4.37430492982997e-25,-0.639452070974099,0.075,0.121,1.0160635491009e-20,"Pcsk2os1","Neuron"
4.38211716551563e-25,-0.522964555202644,0.139,0.197,1.01787817520597e-20,"Crat","Neuron"
4.45661252040493e-25,0.53148891123855,0.308,0.246,1.03518195623966e-20,"Mbd2","Neuron"
4.48860044080401e-25,-0.362318050189697,0.307,0.379,1.04261211038996e-20,"Ino80d","Neuron"
4.49343818615279e-25,-0.624142033747096,0.104,0.156,1.04373582187957e-20,"Cfap44","Neuron"
4.71277242748458e-25,-0.545475651254764,0.094,0.144,1.09468277945612e-20,"Gm16008","Neuron"
4.75703421557925e-25,-0.347429382197221,0.213,0.28,1.10496390759475e-20,"Parl","Neuron"
4.82669887218938e-25,0.646076018511548,0.225,0.167,1.12114561403215e-20,"Rps11","Neuron"
4.88269862394738e-25,-0.392272634965491,0.173,0.238,1.1341532363705e-20,"Fam114a2","Neuron"
5.79223429125982e-25,0.324897633356114,0.621,0.58,1.34542018117383e-20,"Zfp609","Neuron"
6.02352101388452e-25,-0.536155053968191,0.11,0.163,1.3991434611051e-20,"Gm45435","Neuron"
6.06768165461659e-25,-0.691729204873253,0.076,0.122,1.40940109473434e-20,"4933424G06Rik","Neuron"
6.09257012830934e-25,0.542770657853294,0.297,0.237,1.41518218940369e-20,"Rpl11","Neuron"
6.14459787386818e-25,-0.449525308289916,0.155,0.215,1.4272671941421e-20,"Rassf1","Neuron"
6.22156076628461e-25,-0.436977365019682,0.189,0.253,1.44514413479259e-20,"Gin1","Neuron"
6.35225445818554e-25,-0.436192433078534,0.119,0.175,1.47550166554734e-20,"Sharpin","Neuron"
6.61113033927194e-25,-0.387270837835512,0.133,0.191,1.53563335520609e-20,"Slc35c2","Neuron"
6.80750870165175e-25,0.611723448697246,0.253,0.195,1.58124812121967e-20,"Rpl3","Neuron"
6.85712131461642e-25,-0.558978938873502,0.143,0.199,1.5927721389591e-20,"Rad50","Neuron"
7.21320054800029e-25,0.257803829728179,0.724,0.709,1.67548222328951e-20,"Fmn2","Neuron"
7.23312085710204e-25,0.266715914497851,0.901,0.901,1.68010931268766e-20,"Opcml","Neuron"
7.23591895571717e-25,0.28934960519691,0.841,0.828,1.68075925503398e-20,"Cdh18","Neuron"
7.42609357178752e-25,-0.402147656893242,0.146,0.205,1.72493301485481e-20,"Rab3ip","Neuron"
7.58314467930707e-25,-0.312722318057243,0.368,0.444,1.76141284610945e-20,"Agpat4","Neuron"
8.84059638107753e-25,-0.382695354887974,0.198,0.264,2.05349372739669e-20,"Itgb3bp","Neuron"
9.54413722374009e-25,-0.352375976365561,0.244,0.315,2.21691219433035e-20,"Radil","Neuron"
9.63947120949974e-25,-0.361625978510746,0.254,0.324,2.2390563725426e-20,"Ssu72","Neuron"
9.85638540807402e-25,0.7818914712473,0.171,0.119,2.28944120258743e-20,"Comtd1","Neuron"
9.95364584605834e-25,0.538922820176905,0.299,0.238,2.31203285712243e-20,"Fkbp1a","Neuron"
1.03285770587919e-24,-0.524165045339076,0.149,0.206,2.39912187921618e-20,"Gm2824","Neuron"
1.05358960313897e-24,-0.287545869442648,0.383,0.46,2.44727793017119e-20,"Dpysl3","Neuron"
1.15753349801295e-24,-0.3237809641072,0.307,0.378,2.68871880918447e-20,"Rpgr","Neuron"
1.16962274083356e-24,-0.324417366292205,0.369,0.443,2.7167997024082e-20,"Cltb","Neuron"
1.18053076795923e-24,-0.392639819234047,0.171,0.233,2.7421368678157e-20,"Hdac5","Neuron"
1.21402013747385e-24,-0.459860158428788,0.175,0.236,2.81992597532427e-20,"Ift172","Neuron"
1.32054123170333e-24,-0.579977876923307,0.074,0.12,3.06735317300049e-20,"Camsap3","Neuron"
1.33595705013684e-24,-0.311397362424608,0.177,0.243,3.10316103605786e-20,"4930415C11Rik","Neuron"
1.36196091814357e-24,0.796939507330254,0.14,0.092,3.16356282066388e-20,"Drap1","Neuron"
