"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.03290391592271e-61,-0.527590026537232,0.138,0.214,2.39922921590528e-57,"Apc2"
2.21288139843885e-33,-0.527727582237994,0.077,0.12,5.14008091229377e-29,"Zfp974"
4.82036386723083e-68,-0.527979770564152,0.105,0.179,1.11967411908038e-63,"Srsf9"
1.62503498494558e-35,-0.528778187018415,0.063,0.105,3.7746312630316e-31,"Pdha1"
8.54328878852921e-42,-0.528919040352454,0.08,0.131,1.98443511979956e-37,"Gm45435"
2.73161585079493e-42,-0.529212707319888,0.101,0.156,6.34499729822647e-38,"2810004N23Rik"
1.60101441134672e-62,-0.530042199370723,0.145,0.224,3.71883627467616e-58,"Zfp639"
1.03154053019111e-55,-0.53018383607372,0.133,0.205,2.3960623435279e-51,"Arvcf"
2.98508589663776e-40,-0.53025428371592,0.098,0.151,6.9337575207102e-36,"Atad5"
3.34770004992826e-75,-0.530457101094214,0.22,0.317,7.77603767597335e-71,"Pnpt1"
6.64171101459274e-62,-0.530747161610571,0.119,0.192,1.5427366344696e-57,"Zfp24"
3.11634127810354e-72,-0.530858373773109,0.133,0.217,7.2386375207789e-68,"Lin7c"
8.02248220345758e-93,-0.530935897033118,0.275,0.389,1.86346216621913e-88,"Ggt7"
1.33350833528201e-132,-0.53111804520085,0.214,0.353,3.09747316119306e-128,"Dnajc19"
7.56867398935545e-67,-0.531788007822408,0.132,0.212,1.75805159424748e-62,"Pdcd11"
1.84571830771098e-37,-0.532504688968475,0.119,0.176,4.28723448515106e-33,"Ccp110"
1.15999265567642e-61,-0.532742820784578,0.088,0.153,2.6944309406052e-57,"Cic"
1.65023873941106e-173,-0.533173405849952,0.569,0.739,3.83317454390402e-169,"Son"
9.40464554049952e-52,-0.533179469463228,0.147,0.217,2.18451106614723e-47,"Ercc6"
3.40156976597955e-210,-0.533254450668242,0.453,0.631,7.90116625241729e-206,"Mapre2"
4.39022384922563e-82,-0.533816878301297,0.175,0.272,1.01976119569813e-77,"Zmym3"
2.03567017091252e-45,-0.533901250888984,0.086,0.141,4.72845467299561e-41,"Rabggtb"
2.33505331111821e-140,-0.533923165146966,0.306,0.454,5.42386183106537e-136,"Prpf39"
9.1818292208588e-68,-0.534019979967449,0.192,0.282,2.13275529142108e-63,"Col4a2"
2.92893142825277e-49,-0.534210726552268,0.119,0.183,6.80332192154553e-45,"Tmem39a"
5.02051290835181e-38,-0.534296446206166,0.064,0.107,1.16616473835196e-33,"Acadm"
2.10610360451633e-39,-0.534693752184291,0.087,0.137,4.89205745257052e-35,"Atg14"
3.06446545054367e-91,-0.534725206423476,0.157,0.257,7.11814034852283e-87,"Map7d1"
3.44520804007667e-42,-0.534987108679842,0.084,0.135,8.00252923549008e-38,"Txlna"
1.61220505252849e-27,-0.535202254782045,0.095,0.137,3.74482989601317e-23,"Dlx6os1"
4.75772514471158e-70,-0.535274291108251,0.108,0.185,1.10512439661361e-65,"Epm2aip1"
9.42962826516116e-54,-0.535845894907892,0.11,0.176,2.19031405343163e-49,"Nup88"
7.43955479377322e-202,-0.535887968416265,0.544,0.71,1.72805978749764e-197,"Prrc2c"
1.05915158342841e-147,-0.535953422937673,0.376,0.529,2.46019729798751e-143,"Drg1"
4.90571109446752e-38,-0.536248519174926,0.119,0.174,1.13949857302291e-33,"Pla2g4e"
3.25739399772411e-55,-0.536618391547785,0.15,0.223,7.56627477791355e-51,"Ubap1l"
6.46955949056886e-48,-0.536763517866025,0.123,0.186,1.50274927846933e-43,"Klhl23"
3.59160562885583e-60,-0.537243633697166,0.126,0.199,8.34258155470632e-56,"Atg4d"
6.43408665449548e-38,-0.537728595481293,0.095,0.145,1.49450964810621e-33,"Dnah9"
9.39554675969711e-48,-0.537777294504465,0.097,0.156,2.18239760134244e-43,"Ldlr"
6.05078806014579e-64,-0.537864972096118,0.162,0.244,1.40547705061066e-59,"D10Wsu102e"
1.25503069553875e-44,-0.53854384562639,0.089,0.143,2.91518529959742e-40,"Sft2d3"
7.15988833710258e-33,-0.539244883823718,0.075,0.118,1.66309886294219e-28,"Ttpal"
5.9398402134706e-95,-0.539901519461292,0.194,0.304,1.37970608478495e-90,"Rab5a"
3.9387139916025e-36,-0.540170913537033,0.092,0.14,9.14884485969429e-32,"Tmem263"
1.56696518448898e-46,-0.540417023135094,0.097,0.155,3.63974673053099e-42,"Setd1a"
7.07963454286799e-120,-0.541041079907062,0.329,0.464,1.64445751161738e-115,"Srr"
1.13302609762145e-50,-0.541172655635104,0.127,0.194,2.63179301955511e-46,"Sema4g"
3.14439609289811e-43,-0.541210400485207,0.087,0.139,7.30380324458372e-39,"Scyl3"
2.23546503241847e-39,-0.541280222455544,0.072,0.119,5.19253817730163e-35,"C130026L21Rik"
5.20927440712476e-64,-0.541453342870801,0.166,0.249,1.21001025928694e-59,"Morn1"
1.04235542512125e-43,-0.541612350860658,0.09,0.143,2.42118318147165e-39,"Brat1"
4.98279950548914e-54,-0.542137054432384,0.141,0.212,1.15740466913502e-49,"Gm10419"
2.46130919955811e-62,-0.543118832984587,0.104,0.174,5.71712900873357e-58,"Polr1a"
4.46792565674433e-50,-0.543155487247036,0.119,0.183,1.03780977154857e-45,"Dram1"
5.32739863255873e-73,-0.543297433097504,0.129,0.213,1.23744815437074e-68,"Dnajb2"
1.05967400350343e-144,-0.54330253631111,0.379,0.527,2.46141077533776e-140,"Zscan26"
1.46847564667261e-153,-0.543320220322752,0.445,0.595,3.41097523209113e-149,"Zranb2"
6.24766149300617e-45,-0.543789942312014,0.099,0.155,1.45120681159547e-40,"Crat"
2.82879162519759e-118,-0.544083154354257,0.289,0.424,6.57071718700895e-114,"Dusp11"
7.10105040449934e-68,-0.544448790466758,0.169,0.255,1.64943198795711e-63,"Usp36"
2.33951335354317e-47,-0.544677757013569,0.12,0.183,5.43422161761008e-43,"Gm14410"
2.60366308918365e-31,-0.545359247621572,0.081,0.124,6.04778862355577e-27,"Sh2d5"
3.44297547612996e-31,-0.545564442990309,0.07,0.11,7.99734343595467e-27,"Flad1"
2.40383540699441e-59,-0.546809356802373,0.122,0.195,5.58362888336661e-55,"Sirt4"
1.85951479542789e-83,-0.546929038323663,0.207,0.31,4.3192809668199e-79,"Ddx46"
5.10223457350758e-134,-0.547554028281798,0.399,0.541,1.18514704673434e-129,"Hdgfl3"
1.46302938514904e-90,-0.547709682101499,0.204,0.311,3.39832465582418e-86,"Bbs5"
1.56338836730745e-51,-0.547812416444101,0.129,0.196,3.63143849958175e-47,"Nsun6"
2.63335152163272e-48,-0.547955931142967,0.156,0.225,6.11674891444849e-44,"Flrt3"
5.75833008751075e-50,-0.548088903030131,0.127,0.192,1.337544912727e-45,"Ift172"
5.64176463626015e-38,-0.548514639347834,0.083,0.13,1.31046908971051e-33,"Dctn5"
2.33471501466159e-38,-0.54886602627352,0.083,0.131,5.42307603605594e-34,"Dus4l"
2.53503046176793e-52,-0.549207735899486,0.114,0.18,5.88836875659455e-48,"Pxdn"
1.45910017591798e-41,-0.549635402990245,0.097,0.15,3.38919788862228e-37,"Tarbp1"
2.02063532399515e-92,-0.549784269282406,0.198,0.306,4.69353173057593e-88,"Slc35e2"
9.3812351394826e-55,-0.550263409173429,0.115,0.183,2.17907329819902e-50,"Cfap97"
3.92270869254409e-30,-0.550521459186609,0.068,0.106,9.1116677510414e-26,"Nol9"
9.56817031686522e-71,-0.550983878534856,0.186,0.277,2.22249460120145e-66,"Wnk3"
5.58354490720307e-67,-0.55155881492075,0.114,0.189,1.29694581104513e-62,"B3gntl1"
