"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.00181446724880965,0.889321627316107,0.21,0.136,1,"Uhrf1bp1l"
0.0116587201319633,0.888961023779035,0.162,0.107,1,"Maml3"
9.50214251291131e-05,0.888882975288507,0.195,0.105,1,"Kcnb2"
0.00019106783807836,0.88863765895496,0.224,0.132,1,"Cadps"
3.72345076367512e-05,0.8879657970968,0.114,0.046,0.864883143386456,"Micall1"
1.08379519600878e-05,0.885773419817377,0.248,0.134,0.251743948128919,"Lsm14a"
1.23656261387288e-09,0.884992420214995,0.652,0.458,2.87228763950392e-05,"Zfp608"
0.00032436836075288,0.884392511458588,0.343,0.246,1,"Stk3"
0.0042292524130295,0.884072567094929,0.133,0.078,1,"Ccdc91"
0.0514861915451048,0.883764810039889,0.1,0.065,1,"Fbf1"
0.0108635464402193,0.883313694108077,0.1,0.057,1,"Tspan13"
0.000499122847312614,0.883214274893342,0.152,0.082,1,"D630045J12Rik"
5.49707421848364e-07,0.881616583792941,0.324,0.183,0.0127686039946938,"Fam234a"
1.18219625610449e-07,0.881553263033928,0.29,0.149,0.0027460054636795,"Pdcd4"
0.0491033087802359,0.881407657576301,0.1,0.065,1,"Usp13"
2.62092481442128e-06,0.88066455098386,0.3,0.171,0.0608788415893776,"Trp53bp1"
8.77491824490929e-07,0.880183726105551,0.362,0.216,0.0203823800992753,"Klhl7"
5.25368156809389e-11,0.878579886918949,0.605,0.395,1.22032515463685e-06,"Naaladl2"
0.000439677449235557,0.877766804711574,0.171,0.094,1,"Zfp975"
0.000396439546925488,0.877637336482086,0.257,0.164,1,"Ankrd10"
0.00639473841410705,0.877330483566089,0.129,0.075,1,"Rnf220"
1.12812476257922e-05,0.875836948913254,0.152,0.067,0.262040819851901,"Cnpy3"
8.3734534045637e-05,0.87487656354742,0.262,0.157,1,"Ywhaq"
2.77724544995023e-05,0.873705201470145,0.41,0.29,0.645098573114439,"Chn1"
0.00131255662826294,0.87357185377246,0.119,0.061,1,"Rpl12"
0.0029135160431741,0.872738527912166,0.143,0.083,1,"Tmem216"
0.00103785847099003,0.872664920661423,0.152,0.084,1,"Chtop"
0.000506855674479951,0.872056530058404,0.133,0.067,1,"Gm10516"
5.80581722174168e-05,0.871728709175491,0.243,0.141,1,"1810022K09Rik"
2.22960397695447e-08,0.871583917661001,0.395,0.226,0.000517892411766983,"Plekha5"
0.00369569239688268,0.87112652869891,0.181,0.114,1,"Tigd2"
0.00486751037827179,0.869895150258239,0.195,0.128,1,"Wrn"
0.00199941704131466,0.869301888148176,0.19,0.119,1,"Ints3"
5.0617259532468e-05,0.868959685252244,0.262,0.154,1,"Pkp4"
1.69239964223391e-05,0.868110006024517,0.205,0.105,0.393110588898092,"Cntrl"
3.59738793402624e-06,0.867221406345848,0.338,0.203,0.0835601269315615,"Dalrd3"
1.73564482789273e-05,0.867165558615711,0.214,0.111,0.403155580622924,"Fam92a"
0.0421858241139643,0.865737621734405,0.138,0.097,1,"1700084C06Rik"
