key,prob_young,prob_aged,change,log2FC,LR_pair,direction
IL1A_IL1R1_IL1RAP|Microglia→Tanycyte,2.12266452900497e-11,0,-2.12266452900497e-11,-64.202510185133,IL1A_IL1R1_IL1RAP,Microglia→Tanycyte
CLCF1_CNTFR_LIFR|Microglia→Tanycyte,4.50802209019592e-12,2.51443523628153e-11,2.06363302726194e-11,2.47966790460767,CLCF1_CNTFR_LIFR,Microglia→Tanycyte
COL6A3_SDC4|Microglia→Tanycyte,0,2.0124899758243e-11,2.0124899758243e-11,64.1256154000675,COL6A3_SDC4,Microglia→Tanycyte
JAM2_ITGAV_ITGB1|Microglia→Tanycyte,2.45572301111304e-11,4.43244557760861e-11,1.97672256649557e-11,0.851955073878039,JAM2_ITGAV_ITGB1,Microglia→Tanycyte
LRRC4_NTNG2|Microglia→Tanycyte,1.6886158443843e-11,0,-1.6886158443843e-11,-63.8724749590403,LRRC4_NTNG2,Microglia→Tanycyte
NRXN3_NLGN2|Microglia→Tanycyte,4.34215497205526e-11,2.72051969494817e-11,-1.62163527710708e-11,-0.674528944147241,NRXN3_NLGN2,Microglia→Tanycyte
JAM2_JAM2|Microglia→Tanycyte,2.85917856791388e-11,4.43763067715133e-11,1.57845210923745e-11,0.634188878649361,JAM2_JAM2,Microglia→Tanycyte
CD80_CD274|Microglia→Tanycyte,0,1.47376919350304e-11,1.47376919350304e-11,63.6761444049988,CD80_CD274,Microglia→Tanycyte
PDGFA_PDGFRB|Microglia→Tanycyte,1.65229733172818e-12,1.44779931565457e-11,1.28256958248176e-11,3.13131641053178,PDGFA_PDGFRB,Microglia→Tanycyte
CNTN1_NRCAM|Microglia→Tanycyte,7.28228648051168e-11,8.4939254744212e-11,1.21163899390952e-11,0.222039953952716,CNTN1_NRCAM,Microglia→Tanycyte
NRXN1_NLGN3|Microglia→Tanycyte,1.67489104289616e-11,2.71727822468778e-11,1.04238718179162e-11,0.69809504540944,NRXN1_NLGN3,Microglia→Tanycyte
NRXN1_NLGN1|Microglia→Tanycyte,7.44991270493557e-10,7.35165373011917e-10,-9.82589748163972e-12,-0.0191547048377292,NRXN1_NLGN1,Microglia→Tanycyte
COL6A3_ITGAV_ITGB8|Microglia→Tanycyte,0,9.00573410867281e-12,9.00573410867281e-12,62.9655495911862,COL6A3_ITGAV_ITGB8,Microglia→Tanycyte
COL6A3_CD44|Microglia→Tanycyte,0,8.23507102561497e-12,8.23507102561497e-12,62.8364868008945,COL6A3_CD44,Microglia→Tanycyte
NRG3_ERBB4|Microglia→Tanycyte,2.00484439815878e-10,1.94693118372469e-10,-5.79132144340905e-12,-0.0422883778141888,NRG3_ERBB4,Microglia→Tanycyte
NCAM1_FGFR1|Microglia→Tanycyte,2.35182616494574e-11,2.87634180099643e-11,5.2451563605069e-12,0.29045369665476,NCAM1_FGFR1,Microglia→Tanycyte
COL6A3_ITGA1_ITGB1|Microglia→Tanycyte,0,5.04106642570276e-12,5.04106642570276e-12,62.1284346727147,COL6A3_ITGA1_ITGB1,Microglia→Tanycyte
NRG1_ERBB2_ERBB4|Microglia→Tanycyte,0,2.42153561136183e-12,2.42153561136183e-12,61.0706279274957,NRG1_ERBB2_ERBB4,Microglia→Tanycyte
SEMA4G_PLXNB2|Microglia→Tanycyte,1.23081229544636e-11,1.46734413635346e-11,2.36531840907104e-12,0.253596505145999,SEMA4G_PLXNB2,Microglia→Tanycyte
NRXN2_NLGN2|Microglia→Tanycyte,1.70280590614369e-12,0,-1.70280590614369e-12,-60.5626197071685,NRXN2_NLGN2,Microglia→Tanycyte
NRXN1_NLGN2|Microglia→Tanycyte,4.08673409645217e-11,3.91754835303803e-11,-1.69185743414132e-12,-0.060997295862818,NRXN1_NLGN2,Microglia→Tanycyte
NRXN3_NLGN3|Microglia→Tanycyte,1.77957173216592e-11,1.88699876971263e-11,1.07427037546708e-12,0.0845633951938667,NRXN3_NLGN3,Microglia→Tanycyte
COL6A3_ITGA9_ITGB1|Microglia→Tanycyte,0,7.27615264985064e-13,7.27615264985064e-13,59.3359534233742,COL6A3_ITGA9_ITGB1,Microglia→Tanycyte
NRXN2_NLGN3|Microglia→Tanycyte,6.97871273352763e-13,0,-6.97871273352763e-13,-59.2757385600895,NRXN2_NLGN3,Microglia→Tanycyte
MIF_ACKR3|Microglia→Tanycyte,3.4195692348759e-12,2.75756508056913e-12,-6.62004154306776e-13,-0.310419664538977,MIF_ACKR3,Microglia→Tanycyte
NRG3_ERBB2_ERBB4|Microglia→Tanycyte,1.32774075970798e-11,1.28446671339721e-11,-4.32740463107676e-13,-0.0478039854830701,NRG3_ERBB2_ERBB4,Microglia→Tanycyte
NFASC_CNTN1_CNTNAP1|Microglia→Tanycyte,2.74525603466312e-13,0,-2.74525603466312e-13,-57.9297183206811,NFASC_CNTN1_CNTNAP1,Microglia→Tanycyte
EFNB1_EPHB4|Microglia→Tanycyte,2.51233658461884e-13,0,-2.51233658461884e-13,-57.8018073720723,EFNB1_EPHB4,Microglia→Tanycyte
EFNB1_EPHB2|Microglia→Tanycyte,1.95403956586802e-13,0,-1.95403956586802e-13,-57.439237292727,EFNB1_EPHB2,Microglia→Tanycyte
EFNB1_EPHA4|Microglia→Tanycyte,7.25786124276964e-13,6.13564018982076e-13,-1.12222105294887e-13,-0.242330593485025,EFNB1_EPHA4,Microglia→Tanycyte
LRRC4C_NTNG1|Microglia→Tanycyte,9.77019782980702e-14,0,-9.77019782980702e-14,-56.439237292796,LRRC4C_NTNG1,Microglia→Tanycyte
