key,prob_young,prob_aged,change,log2FC,LR_pair,direction
GDF11_TGFBR1_ACVR2A|Tanycyte→Microglia,2.94271795270543e-10,2.9284200291213e-10,-1.42979235841358e-12,-0.00702677548781748,GDF11_TGFBR1_ACVR2A,Tanycyte→Microglia
INHBA_ACVR1B_ACVR2A|Tanycyte→Microglia,3.72561309219826e-12,2.30638511209065e-12,-1.41922798010761e-12,-0.69184442780466,INHBA_ACVR1B_ACVR2A,Tanycyte→Microglia
COL1A2_SDC4|Tanycyte→Microglia,2.09826629377662e-12,7.53641842166339e-13,-1.34462445161028e-12,-1.47724681322764,COL1A2_SDC4,Tanycyte→Microglia
INHBA_ACVR1B_ACVR2B|Tanycyte→Microglia,2.17910235103498e-12,1.21200620528469e-12,-9.67096145750299e-13,-0.846336875297132,INHBA_ACVR1B_ACVR2B,Tanycyte→Microglia
TGFB2_ACVR1B_TGFBR2|Tanycyte→Microglia,6.79223221331531e-11,6.87748854397126e-11,8.52563306559496e-13,0.0179960487110314,TGFB2_ACVR1B_TGFBR2,Tanycyte→Microglia
NECTIN1_NECTIN4|Tanycyte→Microglia,1.16311878925215e-13,9.18609526486664e-13,8.02297647561448e-13,2.98145329848486,NECTIN1_NECTIN4,Tanycyte→Microglia
NRG3_ERBB4|Tanycyte→Microglia,5.21077216286434e-12,4.57047310447164e-12,-6.40299058392694e-13,-0.189153664332615,NRG3_ERBB4,Tanycyte→Microglia
JAG1_NOTCH1|Tanycyte→Microglia,0,5.6957263649313e-13,5.6957263649313e-13,58.9826574508503,JAG1_NOTCH1,Tanycyte→Microglia
CD200_CD200R1|Tanycyte→Microglia,3.07063360333917e-13,7.1833296938083e-13,4.11269609046913e-13,1.22611635637829,CD200_CD200R1,Tanycyte→Microglia
LAMA2_SV2A|Tanycyte→Microglia,5.58297018720328e-13,1.66704186301682e-13,-3.91592832418647e-13,-1.74374251825206,LAMA2_SV2A,Tanycyte→Microglia
HBEGF_ERBB4|Tanycyte→Microglia,0,2.26902920241716e-13,2.26902920241716e-13,57.6548527897073,HBEGF_ERBB4,Tanycyte→Microglia
LAMA3_SV2A|Tanycyte→Microglia,0,2.08380232875678e-13,2.08380232875678e-13,57.5319960419261,LAMA3_SV2A,Tanycyte→Microglia
POMC_OPRM1|Tanycyte→Microglia,1.79120293539328e-13,0,-1.79120293539328e-13,-57.3137064106547,POMC_OPRM1,Tanycyte→Microglia
EFNA4_EPHA2|Tanycyte→Microglia,1.25616829238661e-13,0,-1.25616829238661e-13,-56.801807372161,EFNA4_EPHA2,Tanycyte→Microglia
